,Propoxyphene,Morphine,Methadone,Heroin,Hydromorphone,Oxycodone,Oxymorphone,Dextropropoxyphene,Buprenorphine,Hydrocodone,Meperidine,Fentanyl,Dihydromorphone,Methorphan,Codeine,Tramadol,Pethidine,Dihydrocodeine,Opiates,Opium,Pentazocine,Alphaprodine,Acetylcodeine,Thebaine,Butorphanol,Nalbuphine,ANPP,Desmethylprodine ,Remifentanil,Mitragynine,Acetyldihydrocodeine,Hydrocodeinone,MT-45,Levorphanol,Acetyl fentanyl,Butyryl fentanyl,Furanyl fentanyl,p-Fluorobutyryl fentanyl,cis-3-methylfentanyl,Valeryl fentanyl,Carfentanil,Acryl fentanyl,U-47700,3-Methylfentanyl,4-Fluoroisobutyryl fentanyl,trans-3-Methylfentanyl,p-methoxybutyryl fentanyl,Tetrahydrofuran fentanyl,p-Fluorofentanyl,o-Fluorofentanyl,3-Fluorofentanyl,Fluorofentanyl,Fluoroisobutyryl fentanyl,Fluorobutyryl fentanyl ,Furanyl/3-Furanyl fentanyl,Cyclopropyl fentanyl,Methoxyacetyl fentanyl,Phenyl fentanyl,Benzylfentanyl,U-48800,U-49900,Crotonyl fentanyl,"3,4-Methylenedioxy U-47700",U-51754,Cyclopropyl/Crotonyl Fentanyl,Isobutyryl fentanyl,Cyclopentyl fentanyl,4-Methylfentanyl,Metazocine
51001,0,0,0,13,0,5,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39001,0,0,0,111,0,16,0,0,15,7,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42001,1,6,4,42,1,19,2,0,7,1,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51510,0,0,1,15,2,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42003,2,13,14,3400,6,183,19,0,293,78,0,770,0,0,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1,45,0,14,4,4,0,19,0,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21003,0,1,0,1,0,3,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51007,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51013,0,4,8,126,4,29,1,0,18,4,0,17,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42005,0,1,0,119,1,4,6,0,12,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39005,0,1,4,184,1,37,2,0,33,12,0,37,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39007,0,4,3,245,2,31,0,0,22,21,0,145,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39009,0,4,1,89,0,40,0,0,71,20,0,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
