,Drug,Year,Score_Drug_1,Score_Drug_2,Score_Drug_3
0,Propoxyphene,2015,0.001951083376838944,0.0016409335709083814,0.0027354446437824463
1,Morphine,2015,0.014005179822696969,0.022377941656937114,0.02585856086204511
2,Methadone,2015,0.026090075151422747,0.0030148878528516317,0.014484634216039943
3,Heroin,2015,0.712373744980424,1.005423326903223,0.8845122118439489
4,Hydromorphone,2015,0.017399131324870788,0.013715667860708276,0.0029004031772950152
5,Oxycodone,2015,0.23328456257702493,0.044226287005025386,0.3403201601389144
6,Oxymorphone,2015,0.000788868180909497,0.0312760046111734,0.0035989838820934014
7,Dextropropoxyphene,2015,0.00204091417786431,0.002116897256076721,0.0014400951253463578
8,Buprenorphine,2015,0.15120692808039418,0.13627393199645074,0.047231609589670306
9,Fentanyl,2015,0.16835301251640852,0.04017880874430564,0.034918643143631106
10,Meperidine,2015,0.0017258755782119336,0.0013548939165099754,0.0025826322545445244
11,Hydrocodone,2015,0.030746204931415878,0.2139695471164451,0.09288306467644392
12,Dihydromorphone,2015,0.0004910245196663788,0.002043495694658274,0.0029277104642315642
13,Methorphan,2015,0.0013486943372562192,0.0036626308017734996,0.0015024436014589334
14,Codeine,2015,0.014818391100886749,0.012253927962255612,0.00278436133231556
15,Tramadol,2015,0.0006490191812750596,0.015353385066681647,0.04403536111772428
16,Pethidine,2015,0.0035900696039193537,2.8176234233085435e-06,0.001772918277040615
17,Dihydrocodeine,2015,0.0026054001826155675,0.0003636013572750836,0.0023637171247943498
18,Opiates,2015,0.00138884296268647,0.001345770019001693,0.002703892726132249
19,Opium,2015,0.00043287254404675095,0.001677000883017954,0.003321031376700712
20,Pentazocine,2015,0.0016621973989957748,0.002367332173525333,0.0016120637496949866
21,Alphaprodine,2015,0.0027694901651607166,0.001832261753331363,0.0009678573598621111
22,Acetylcodeine,2015,0.0024156763638638005,0.002006476466003636,0.0011529018807816954
23,Thebaine,2015,0.0016364443105296273,0.000989822500962581,0.0028006923994616556
24,Butorphanol,2015,0.0015648773671944562,0.003180774805006062,0.0009875100349804598
25,Nalbuphine,2015,0.000282600515866915,0.0028266956936769945,0.0024612799797897812
