,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC161,HC01_VC172,HC01_VC175,HC01_VC176,HC01_VC178,HC01_VC185,HC01_VC187,HC01_VC193,HC01_VC196,HC01_VC198,HC01_VC203,HC01_VC204,HC01_VC206,HC01_VC208,HC01_VC209
0,21001,2.51,17,8,58,32,99,44,318,148,52,5,19032,15,28,90,304,7,227,0,84,0
1,21003,2.48,81,45,54,31,126,0,1027,150,798,8,20219,12,12,73,267,0,279,24,41,140
2,21005,2.58,67,27,57,7,142,79,561,117,231,102,21664,0,66,59,367,22,428,0,43,14
3,21007,2.49,7,10,63,4,144,22,136,3,17,43,8274,12,2,0,77,11,100,0,17,0
4,21009,2.50,203,48,50,36,98,36,1310,206,339,155,42691,22,156,7,490,1,550,24,514,36
5,21011,2.70,109,90,79,121,140,2,298,68,95,0,11870,2,3,0,30,6,132,0,104,84
6,21013,2.44,117,37,52,48,93,9,447,36,167,163,28234,3,6,19,250,0,272,0,21,9
7,21015,2.78,521,40,57,26,113,595,7261,848,1623,1958,123030,318,321,419,4784,299,1515,98,791,153
8,21017,2.53,112,46,47,117,80,72,1104,725,65,10,19972,5,70,56,305,15,351,0,35,32
9,21019,2.40,209,42,51,21,107,217,844,158,297,56,49242,143,76,99,858,213,747,16,141,18
10,21021,2.43,94,27,50,9,109,32,996,334,135,128,29150,23,29,74,573,13,649,21,205,125
11,21023,2.55,42,50,54,0,118,3,130,53,7,0,8459,18,5,82,150,5,55,0,3,3
12,21025,2.44,84,53,48,50,82,11,202,56,40,8,13663,0,11,5,75,5,152,0,4,6
13,21027,2.70,69,35,62,12,115,14,503,88,299,9,20076,0,62,24,296,54,176,153,44,157
14,21029,2.68,331,37,46,14,94,157,1104,141,244,306,76093,87,185,98,1961,100,661,3,303,190
15,21031,2.47,59,44,77,12,153,21,522,149,172,18,12797,0,0,0,50,0,152,0,55,23
16,21033,2.39,87,59,76,183,134,0,72,57,0,0,12880,21,0,14,253,0,362,0,34,30
17,21035,2.32,126,19,38,0,70,343,1999,431,344,698,37981,265,31,13,859,113,692,9,184,57
18,21037,2.49,309,24,51,5,99,290,3678,518,1119,284,91268,463,132,326,3881,123,1074,204,256,269
19,21039,2.40,4,9,48,43,108,20,34,13,2,0,5031,0,0,0,20,5,40,0,9,0
20,21041,2.55,69,56,59,44,109,14,753,341,157,9,10871,0,0,3,48,0,185,27,0,13
21,21043,2.54,59,20,47,24,83,38,177,26,49,7,27439,42,16,46,220,27,426,41,9,10
22,21045,2.53,75,50,70,23,168,24,563,125,272,26,16002,35,0,51,86,4,172,0,52,127
23,21047,2.67,516,70,95,56,141,238,4413,903,1339,634,74459,81,199,117,1613,134,653,65,286,259
24,21049,2.45,126,32,46,21,106,75,778,336,164,71,35633,105,96,62,516,12,654,0,73,14
25,21051,2.56,160,71,64,39,140,0,433,135,9,11,21446,13,0,0,91,12,249,6,101,11
26,21053,2.59,52,46,46,43,99,68,165,26,15,20,10192,0,0,8,70,7,62,0,56,0
27,21055,2.38,17,23,59,20,118,41,423,19,345,16,9254,0,8,0,157,0,108,0,11,4
28,21057,2.51,7,8,28,0,80,10,53,5,46,0,6829,0,0,0,17,0,46,0,38,0
29,21059,2.50,468,42,48,41,100,346,3217,823,653,380,97631,15,93,163,1242,147,872,110,252,267
