,FIPS,Year,Score_County_2,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank
0,51001,2017,2.6450907325530184,3,0,Good,0
1,39001,2017,20.30618643732479,21,6,Normal,1
2,42001,2017,20.439308617264732,21,3,Normal,1
3,51510,2017,5.604893600020376,6,6,Good,0
4,42003,2017,47.38087536821894,48,4,Critical,2
5,21003,2017,12.842404927391119,13,4,Normal,1
6,51007,2017,8.134572091703149,9,9,Normal,1
7,51013,2017,42.861531699616854,43,6,Critical,2
8,42005,2017,9.602135832070562,10,3,Normal,1
9,39005,2017,24.44567015866588,25,5,Critical,2
10,39007,2017,146.24934739935586,147,0,Critical,2
11,39009,2017,12.770264531174757,13,7,Normal,1
12,39011,2017,16.03220710772263,17,6,Normal,1
13,54001,2017,7.598443597182803,8,8,Normal,1
14,21009,2017,8.964066089289169,9,7,Normal,1
15,21011,2017,0.9251573411055574,1,11,Good,0
16,42009,2017,7.052239243522093,8,2,Normal,1
17,51019,2017,22.138079816163675,23,9,Critical,2
18,21013,2017,35.65502637113434,36,6,Critical,2
19,54003,2017,5.475153951823469,6,5,Good,0
20,42011,2017,157.4036284227972,158,4,Critical,2
21,51021,2017,0.3168478626482629,1,6,Good,0
22,21015,2017,84.48315648298363,85,7,Critical,2
23,54005,2017,8.980420733431751,9,5,Normal,1
24,21023,2017,0.6230057880446741,1,11,Good,0
25,54007,2017,12.40436783206588,13,7,Normal,1
26,21025,2017,3.01445703766235,4,8,Good,0
27,21027,2017,6.367703628352609,7,5,Good,0
28,39015,2017,23.649772689541717,24,8,Critical,2
29,51029,2017,15.305587430440298,16,5,Normal,1
30,42017,2017,38.40645599523036,39,3,Critical,2
31,21029,2017,15.361111552768927,16,6,Normal,1
32,39017,2017,315.815561471681,316,4,Critical,2
33,42019,2017,15.222873918762966,16,4,Normal,1
34,54011,2017,17.500459230406328,18,7,Normal,1
35,54013,2017,0.8065073017718178,1,7,Good,0
