,Unnamed: 0,FIPS,Year,Score_County_3,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank,is_Surrounded,is_Affected,is_Affected_Rank
0,0,51001,2014,9.342577632696806,10,0,Normal,1,-1,-6,Lightly_Decrease,-1,0.0,Not_Likely,0,6.000000000000001,Not_Likely,0
1,1,39001,2014,32.433890880867274,33,6,Critical,2,0,-2,Stable,0,45.0,Possible,1,17.000000000000004,Possible,1
2,2,42001,2014,18.737676391187087,19,3,Normal,1,0,-1,Stable,0,50.0,Highly_Possible,2,44.00000000000001,Highly_Possible,2
3,3,51510,2014,6.800094609869832,7,6,Normal,1,0,9,Lightly_Increase,1,38.888888888888886,Possible,1,9.999999999999998,Not_Likely,0
4,4,42003,2014,469.0554901123072,470,4,Severe,3,0,749,Extremely_Increase,3,18.75,Possible,1,27.500000000000004,Possible,1
5,5,21003,2014,3.4329614915017435,4,4,Good,0,1,19,Increase,2,42.857142857142854,Possible,1,22.85714285714286,Possible,1
6,6,51007,2014,0.5634025578969264,1,9,Good,0,0,6,Lightly_Increase,1,-17.857142857142858,Not_Likely,0,2.857142857142857,Not_Likely,0
7,7,51013,2014,17.40903446444525,18,6,Normal,1,1,23,Increase,2,38.888888888888886,Possible,1,26.691817441558882,Possible,1
8,8,42005,2014,23.570847193112503,24,3,Normal,1,1,18,Increase,2,71.42857142857143,Highly_Possible,2,48.57142857142858,Highly_Possible,2
9,9,39005,2014,37.693021093427355,38,5,Critical,2,0,-10,Lightly_Decrease,-1,22.222222222222218,Possible,1,47.56621256669658,Highly_Possible,2
10,10,39007,2014,132.57648755492082,133,0,Critical,2,-1,-112,Extremely_Decrease,-3,30.0,Possible,1,8.875781310630302,Not_Likely,0
11,11,39009,2014,54.59546959587733,55,7,Critical,2,0,-3,Stable,0,31.25,Possible,1,20.000000000000004,Possible,1
12,12,39011,2014,15.081376627680829,16,6,Normal,1,1,15,Increase,2,15.0,Possible,1,19.0,Possible,1
13,13,54001,2014,5.770579347837603,6,8,Good,0,0,-2,Stable,0,5.0,Possible,1,7.030799268376434,Not_Likely,0
14,14,21009,2014,15.034896727670374,16,7,Normal,1,0,1,Stable,0,30.0,Possible,1,9.999999999999998,Not_Likely,0
15,15,21011,2014,2.031471980873206,3,11,Good,0,1,18,Increase,2,0.0,Not_Likely,0,9.375000000000002,Not_Likely,0
16,16,42009,2014,0.2138234854852392,1,2,Good,0,1,17,Increase,2,66.66666666666667,Highly_Possible,2,55.0,Highly_Possible,2
17,17,51019,2014,30.716217624456934,31,9,Critical,2,-1,-15,Decrease,-2,19.23076923076923,Possible,1,7.692307692307692,Not_Likely,0
18,18,21013,2014,57.338929327779375,58,6,Critical,2,0,1,Stable,0,6.25,Possible,1,6.25,Not_Likely,0
19,19,54003,2014,33.33376321523325,34,5,Critical,2,-1,-17,Decrease,-2,25.0,Possible,1,5.0,Not_Likely,0
20,20,42011,2014,124.26998523213094,125,4,Critical,2,0,17,Increase,2,37.5,Possible,1,30.000000000000004,Highly_Possible,2
21,21,51021,2014,7.657204508492923,8,6,Normal,1,-1,-7,Lightly_Decrease,-1,-8.333333333333334,Not_Likely,0,1.6666666666666667,Not_Likely,0
22,22,21015,2014,15.29388537450791,16,7,Normal,1,1,60,Increase,2,31.818181818181817,Possible,1,8.18181818181818,Not_Likely,0
23,23,54005,2014,7.506597650039757,8,5,Normal,1,0,1,Stable,0,-50.0,Not_Likely,0,2.2222222222222223,Not_Likely,0
24,24,21023,2014,6.1277164439329095,7,11,Normal,1,0,3,Stable,0,17.857142857142858,Possible,1,10.0,Not_Likely,0
25,25,54007,2014,9.289926888161936,10,7,Normal,1,0,-2,Stable,0,-11.111111111111109,Not_Likely,0,4.444444444444445,Not_Likely,0
26,26,21025,2014,8.76531624294413,9,8,Normal,1,0,6,Lightly_Increase,1,36.66666666666666,Possible,1,10.000000000000002,Possible,1
27,27,21027,2014,4.4610582655394335,5,5,Good,0,1,5,Stable,0,0.0,Not_Likely,0,4.2857142857142865,Not_Likely,0
28,28,39015,2014,1.5019655004529666,2,8,Good,0,1,16,Increase,2,22.72727272727273,Possible,1,20.91392009428626,Possible,1
29,29,51029,2014,6.872107050471487,7,5,Normal,1,-1,-3,Stable,0,20.83333333333333,Possible,1,5.833333333333333,Not_Likely,0
30,30,42017,2014,575.1207840493686,576,3,Severe,3,-1,-393,Extremely_Decrease,-3,0.0,Not_Likely,0,1.6666666666666667,Not_Likely,0
31,31,21029,2014,23.007756661920357,24,6,Normal,1,0,-13,Decrease,-2,-20.0,Not_Likely,0,6.086527495897789,Not_Likely,0
32,32,39017,2014,252.82756628284454,253,4,Severe,3,-1,16,Increase,2,38.888888888888886,Possible,1,9.999999999999998,Not_Likely,0
