,FIPS,Year,Score_County_3,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n
0,51001,2013,4.6006437562711175,5,0,Good,0,1,5,Lightly_Increase,1
1,39001,2013,1.8900369590496209,2,6,Good,0,2,31,Increase,2
2,42001,2013,20.4949714539934,21,3,Normal,1,0,-2,Stable,0
3,51510,2013,6.5629320082928,7,6,Normal,1,0,0,Stable,0
4,42003,2013,902.3747346317224,903,4,Severe,3,0,-433,Extremely_Decrease,-3
5,21003,2013,11.440996025034051,12,4,Normal,1,-1,-8,Decrease,-2
6,51007,2013,11.52294556451758,12,9,Normal,1,-1,-11,Decrease,-2
7,51013,2013,26.232279555834843,27,6,Critical,2,-1,-9,Decrease,-2
8,42005,2013,16.08552872507093,17,3,Normal,1,0,7,Lightly_Increase,1
9,39005,2013,4.029401971787756,5,5,Good,0,2,33,Increase,2
10,39007,2013,53.005375254627545,54,0,Critical,2,0,79,Extremely_Increase,3
11,39009,2013,66.04938954570123,67,7,Critical,2,0,-12,Decrease,-2
12,39011,2013,10.744418142511943,11,6,Normal,1,0,5,Lightly_Increase,1
13,54001,2013,4.873368081298787,5,8,Good,0,0,1,Stable,0
14,21009,2013,0.7512334692665921,1,7,Good,0,1,15,Increase,2
15,21011,2013,2.8425620502882025,3,11,Good,0,0,0,Stable,0
16,42009,2013,16.186544123247312,17,2,Normal,1,-1,-16,Decrease,-2
17,51019,2013,16.882164108379406,17,9,Normal,1,1,14,Increase,2
18,21013,2013,37.781919056458676,38,6,Critical,2,0,20,Increase,2
19,54003,2013,13.927180154669802,14,5,Normal,1,1,20,Increase,2
20,42011,2013,121.21481234451794,122,4,Critical,2,0,3,Stable,0
21,51021,2013,3.867299883350712,4,6,Good,0,1,4,Lightly_Increase,1
22,21015,2013,39.314131879251654,40,7,Critical,2,-1,-24,Decrease,-2
23,54005,2013,2.2741579424807443,3,5,Good,0,1,5,Lightly_Increase,1
24,21023,2013,1.6101107695523622,2,11,Good,0,1,5,Lightly_Increase,1
25,54007,2013,7.498949340840763,8,7,Normal,1,0,2,Stable,0
26,21025,2013,20.484236210439345,21,8,Normal,1,0,-12,Decrease,-2
27,21027,2013,10.23069701736958,11,5,Normal,1,-1,-6,Lightly_Decrease,-1
28,39015,2013,10.903983662655909,11,8,Normal,1,-1,-9,Decrease,-2
29,51029,2013,9.11931958624609,10,5,Normal,1,0,-3,Stable,0
30,42017,2013,40.346553538032666,41,3,Critical,2,1,535,Extremely_Increase,3
31,21029,2013,52.25167448779634,53,6,Critical,2,-1,-29,Decrease,-2
32,39017,2013,118.880756016581,119,4,Critical,2,1,134,Extremely_Increase,3
33,42019,2013,20.580287725075483,21,4,Normal,1,-1,-20,Decrease,-2
34,54011,2013,59.083738775966864,60,7,Critical,2,-1,-44,Decrease,-2
35,54013,2013,0.5694237472390083,1,7,Good,0,0,2,Stable,0
36,42021,2013,41.00588128057245,42,2,Critical,2,-1,-20,Decrease,-2
37,42023,2013,8.484725457963318,9,2,Normal,1,0,-2,Stable,0
38,42025,2013,21.35482310094926,22,5,Normal,1,1,10,Increase,2
39,51033,2013,7.469955031168307,8,8,Normal,1,0,11,Increase,2
40,21041,2013,20.665731848886608,21,8,Normal,1,0,-3,Stable,0
41,39019,2013,3.134185644281551,4,6,Good,0,1,9,Increase,2
42,21043,2013,19.161861643045228,20,7,Normal,1,-1,-15,Decrease,-2
43,21045,2013,0.1859585632106444,1,8,Good,0,1,7,Lightly_Increase,1
44,51540,2013,6.484030396597055,7,8,Normal,1,-1,-3,Stable,0
45,51550,2013,43.22235196556957,44,8,Critical,2,-1,-33,Decrease,-2
46,42029,2013,82.12057739563808,83,3,Critical,2,0,35,Increase,2
47,51041,2013,56.29068391654481,57,13,Critical,2,0,55,Increase,2
48,21047,2013,2.5600073911730106,3,5,Good,0,0,2,Stable,0
49,42031,2013,1.3483482496966992,2,4,Good,0,1,11,Increase,2
50,42033,2013,13.431863459971552,14,2,Normal,1,0,-1,Stable,0
51,39025,2013,30.98975696694665,31,9,Critical,2,0,14,Increase,2
52,39027,2013,20.592758191857232,21,5,Normal,1,0,-4,Lightly_Decrease,-1
53,51570,2013,7.330935059613107,8,11,Normal,1,0,1,Stable,0
54,42037,2013,1.8973767481565496,2,5,Good,0,2,45,Increase,2
55,39029,2013,16.503403249855833,17,7,Normal,1,1,43,Increase,2
56,39033,2013,32.01502000033948,33,6,Critical,2,0,-6,Lightly_Decrease,-1
57,42039,2013,13.043615863445561,14,3,Normal,1,0,-7,Lightly_Decrease,-1
58,21055,2013,1.94696402001485,2,5,Good,0,1,6,Lightly_Increase,1
59,39035,2013,381.51367792289113,382,1,Severe,3,0,522,Extremely_Increase,3
60,51590,2013,12.145663628054129,13,3,Normal,1,-1,-8,Decrease,-2
61,42043,2013,111.33911756070587,112,5,Critical,2,0,-79,Extremely_Decrease,-3
62,21059,2013,13.20991889766419,14,4,Normal,1,0,3,Stable,0
63,39039,2013,10.109708149750123,11,5,Normal,1,1,38,Increase,2
64,39041,2013,54.80293000146178,55,5,Critical,2,0,-3,Stable,0
65,42045,2013,384.9455223213844,385,3,Severe,3,0,-149,Extremely_Decrease,-3
66,51051,2013,8.748743665658933,9,6,Normal,1,0,4,Lightly_Increase,1
67,54017,2013,2.871870923555253,3,8,Good,0,1,8,Increase,2
68,39043,2013,7.394748353542247,8,3,Normal,1,1,92,Extremely_Increase,3
69,42049,2013,80.32340512359085,81,1,Critical,2,0,-37,Decrease,-2
70,51057,2013,11.537453110066831,12,6,Normal,1,0,3,Stable,0
71,51059,2013,131.78792891186905,132,9,Critical,2,0,-17,Decrease,-2
72,21001,2013,8.415501901391156,9,8,Normal,1,-1,-4,Lightly_Decrease,-1
73,51003,2013,5.958473942288848,6,7,Good,0,0,-2,Stable,0
74,51005,2013,12.391844203334164,13,7,Normal,1,0,3,Stable,0
75,39003,2013,55.94737970395914,56,6,Critical,2,0,-7,Lightly_Decrease,-1
76,51009,2013,5.0638607534118405,6,9,Good,0,1,2,Stable,0
77,51015,2013,11.494983981366685,12,7,Normal,1,0,10,Increase,2
78,51017,2013,8.408636070214305,9,7,Normal,1,0,3,Stable,0
79,42007,2013,22.18126010908836,23,7,Critical,2,0,42,Increase,2
80,39013,2013,25.9784239179412,26,8,Critical,2,0,2,Stable,0
81,21017,2013,16.567845899566493,17,10,Normal,1,0,-7,Lightly_Decrease,-1
82,21019,2013,50.060372497853535,51,7,Critical,2,0,-15,Decrease,-2
83,21021,2013,7.414887427117027,8,10,Normal,1,-1,-6,Lightly_Decrease,-1
84,51520,2013,5.0405980302104885,6,3,Good,0,1,2,Stable,0
85,51027,2013,17.2751618223101,18,5,Normal,1,0,-5,Lightly_Decrease,-1
86,51530,2013,12.769160270545509,13,9,Normal,1,-1,-11,Decrease,-2
