,Unnamed: 0,FIPS,Year,Score_County_2,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank,is_Surrounded
0,0,51001,2015,15.962044179278983,16,0,Normal,1,0,-6,Lightly_Decrease,-1,-70.0,Not_Likely,0,2.0
1,1,39001,2015,24.4633706536228,25,6,Critical,2,0,14,Increase,2,35.0,Possible,1,8.0
2,2,42001,2015,24.743924428205272,25,3,Critical,2,-1,-4,Lightly_Decrease,-1,-20.0,Not_Likely,0,6.000000000000001
3,3,51510,2015,5.634717067889483,6,6,Good,0,1,3,Stable,0,-5.5555555555555545,Not_Likely,0,4.444444444444445
4,4,42003,2015,565.0058415779271,566,4,Severe,3,0,103,Extremely_Increase,3,37.5,Possible,1,20.0
5,5,21003,2015,0.08374059420807531,1,4,Good,0,1,8,Increase,2,21.428571428571427,Possible,1,7.142857142857143
6,6,51007,2015,14.716876450494714,15,9,Normal,1,0,-4,Lightly_Decrease,-1,14.285714285714285,Possible,1,9.285714285714286
7,7,51013,2015,9.787841044923006,10,6,Normal,1,0,10,Increase,2,-5.5555555555555545,Not_Likely,0,4.444444444444445
8,8,42005,2015,26.202853797668748,27,3,Critical,2,0,0,Stable,0,64.28571428571429,Highly_Possible,2,21.428571428571438
9,9,39005,2015,91.46808971510842,92,5,Critical,2,0,-52,Decrease,-2,0.0,Not_Likely,0,4.444444444444445
10,10,39007,2015,147.07619132643234,148,0,Critical,2,0,13,Increase,2,30.0,Possible,1,28.0
11,11,39009,2015,11.693383125850243,12,7,Normal,1,1,23,Increase,2,37.5,Possible,1,20.0
12,12,39011,2015,14.14930404867324,15,6,Normal,1,-1,-12,Decrease,-2,-30.0,Not_Likely,0,2.0
13,13,54001,2015,9.597304510685463,10,8,Normal,1,0,-2,Stable,0,10.0,Possible,1,5.0
14,14,21009,2015,4.658634829736943,5,7,Good,0,1,3,Stable,0,0.0,Not_Likely,0,7.0
15,15,21011,2015,14.530346243145182,15,11,Normal,1,-1,-14,Decrease,-2,15.625,Possible,1,5.0
16,16,42009,2015,15.1907289625566,16,2,Normal,1,-1,-10,Decrease,-2,-16.666666666666668,Not_Likely,0,3.3333333333333335
17,17,51019,2015,19.87132965771445,20,9,Normal,1,0,-1,Stable,0,26.923076923076927,Possible,1,10.0
18,18,21013,2015,31.75963476099291,32,6,Critical,2,0,41,Increase,2,43.75,Possible,1,10.0
19,19,54003,2015,10.915277948099682,11,5,Normal,1,1,86,Extremely_Increase,3,45.0,Possible,1,9.999999999999998
20,20,42011,2015,71.77878756844767,72,4,Critical,2,0,-35,Decrease,-2,18.75,Possible,1,5.0
21,21,51021,2015,17.34270225931695,18,6,Normal,1,-1,-14,Decrease,-2,0.0,Not_Likely,0,4.166666666666667
22,22,21015,2015,74.62422566917365,75,7,Critical,2,0,-38,Decrease,-2,0.0,Not_Likely,0,1.8181818181818181
23,23,54005,2015,10.7815460636943,11,5,Normal,1,0,-3,Stable,0,44.444444444444436,Possible,1,7.777777777777778
24,24,21023,2015,11.508712227189145,12,11,Normal,1,-1,-9,Decrease,-2,3.571428571428572,Possible,1,4.285714285714286
25,25,54007,2015,9.313750595707033,10,7,Normal,1,0,2,Stable,0,-11.111111111111109,Not_Likely,0,4.444444444444445
26,26,21025,2015,7.805263012587194,8,8,Normal,1,0,3,Stable,0,-6.666666666666668,Not_Likely,0,4.666666666666667
27,27,21027,2015,9.652864377060009,10,5,Normal,1,0,2,Stable,0,7.142857142857142,Possible,1,2.857142857142857
28,28,39015,2015,91.39821575118151,92,8,Critical,2,0,-64,Decrease,-2,0.0,Not_Likely,0,13.636363636363637
29,29,51029,2015,6.808845002844911,7,5,Good,0,1,4,Lightly_Increase,1,45.83333333333334,Possible,1,17.500000000000004
30,30,42017,2015,202.72871821119446,203,3,Critical,2,-1,-180,Extremely_Decrease,-3,-16.666666666666668,Not_Likely,0,1.6666666666666667
31,31,21029,2015,24.208788633049675,25,6,Critical,2,-2,-20,Decrease,-2,-20.0,Not_Likely,0,1.0
32,32,39017,2015,122.08074166583401,123,4,Critical,2,1,239,Extremely_Increase,3,50.0,Possible,1,35.55555555555556
33,33,42019,2015,30.38740173141521,31,4,Critical,2,0,24,Increase,2,25.0,Possible,1,21.250000000000004
34,34,54011,2015,24.23810723478396,25,7,Critical,2,-1,-5,Lightly_Decrease,-1,-44.444444444444436,Not_Likely,0,1.1111111111111112
35,35,54013,2015,11.887628701800445,12,7,Normal,1,-1,-6,Lightly_Decrease,-1,-12.5,Not_Likely,0,3.3333333333333335
