,County,State
0,AUGLAIZE,OH
1,SHELBY,OH
2,ALLEN,OH
3,MERCER,OH
4,LOGAN,OH
5,VAN WERT,OH
6,HARDIN,OH
7,BUCKS,PA
8,MONTGOMERY,PA
9,PHILADELPHIA,PA
10,NORTHAMPTON,PA
11,BUTLER,OH
12,HAMILTON,OH
13,PREBLE,OH
14,WARREN,OH
15,MONTGOMERY,OH
16,CHESTER,PA
17,DELAWARE,PA
18,LANCASTER,PA
19,CHAMPAIGN,OH
20,CLARK,OH
21,UNION,OH
22,MIAMI,OH
23,MADISON,OH
24,DARKE,OH
25,GREENE,OH
26,FAYETTE,OH
27,GUERNSEY,OH
28,NOBLE,OH
29,MUSKINGUM,OH
30,HARRISON,OH
31,TUSCARAWAS,OH
32,BELMONT,OH
33,COSHOCTON,OH
34,BOONE,KY
35,KENTON,KY
36,CAMPBELL,KY
37,CLERMONT,OH
38,LEHIGH,PA
39,MORGAN,OH
40,PERRY,OH
41,ATHENS,OH
42,WASHINGTON,OH
43,LICKING,OH
44,MONROE,OH
45,CLINTON,OH
