,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank
0,51001,2012,12.605950588773403,13,0,Normal,1
1,39001,2012,21.88686951358337,22,6,Normal,1
2,42001,2012,2.5889530281541795,3,3,Good,0
3,51510,2012,10.100269713802867,11,6,Normal,1
4,42003,2012,255.5533548656181,256,4,Severe,3
5,21003,2012,11.886525868644496,12,4,Normal,1
6,51007,2012,5.129479201735043,6,9,Good,0
7,51013,2012,35.170402979880876,36,6,Critical,2
8,42005,2012,13.33591079001167,14,3,Normal,1
9,39005,2012,34.75081089101202,35,5,Critical,2
10,39007,2012,28.801098907684555,29,0,Critical,2
11,39009,2012,49.45342858632989,50,7,Critical,2
12,39011,2012,9.572870550652416,10,6,Normal,1
13,54001,2012,2.1877975595745007,3,8,Good,0
14,21009,2012,1.5118836298459035,2,7,Good,0
15,21011,2012,16.684513809683875,17,11,Normal,1
16,42009,2012,17.19546319839753,18,2,Normal,1
17,51019,2012,31.948672040039845,32,9,Critical,2
18,21013,2012,6.564991704647984,7,6,Good,0
19,54003,2012,84.77093262953953,85,5,Critical,2
20,42011,2012,78.01568099271266,79,4,Critical,2
21,51021,2012,13.212176926574378,14,6,Normal,1
22,21015,2012,32.420037761581675,33,7,Critical,2
23,54005,2012,6.878756297236975,7,5,Good,0
24,21023,2012,13.748712589225173,14,11,Normal,1
25,54007,2012,9.010832715532873,10,7,Normal,1
26,21025,2012,25.44345599982296,26,8,Critical,2
27,21027,2012,7.060093392216622,8,5,Normal,1
28,39015,2012,17.61781830524385,18,8,Normal,1
29,51029,2012,0.33263203247778284,1,5,Good,0
30,42017,2012,319.062051549008,320,3,Severe,3
31,21029,2012,22.11781755204721,23,6,Critical,2
32,39017,2012,231.70549736758568,232,4,Severe,3
33,42019,2012,13.507093720436645,14,4,Normal,1
34,54011,2012,63.74038606542248,64,7,Critical,2
35,54013,2012,1.5603898058284214,2,7,Good,0
36,42021,2012,41.835464074458734,42,2,Critical,2
37,42023,2012,8.519912525763099,9,2,Normal,1
38,42025,2012,20.119786048341318,21,5,Normal,1
39,51033,2012,7.550890164497798,8,8,Normal,1
40,21041,2012,20.037553198703574,21,8,Normal,1
41,39019,2012,11.616418207132305,12,6,Normal,1
42,21043,2012,61.42271127511161,62,7,Critical,2
43,21045,2012,15.006672188045773,16,8,Normal,1
44,51540,2012,10.235264154218989,11,8,Normal,1
45,51550,2012,10.264895170285461,11,8,Normal,1
46,42029,2012,68.76166517780396,69,3,Critical,2
47,51041,2012,110.56614554460127,111,13,Critical,2
48,21047,2012,12.714891428202462,13,5,Normal,1
49,42031,2012,12.032497207344726,13,4,Normal,1
50,42033,2012,15.525278369162756,16,2,Normal,1
51,39025,2012,33.411944831718785,34,9,Critical,2
52,39027,2012,21.727179891896117,22,5,Normal,1
53,51570,2012,7.412631733011212,8,11,Normal,1
54,42037,2012,5.635056688049492,6,5,Good,0
55,39029,2012,16.225143821802035,17,7,Normal,1
56,39033,2012,10.594837460749904,11,6,Normal,1
57,42039,2012,14.763081517361796,15,3,Normal,1
58,21055,2012,14.271232084258928,15,5,Normal,1
59,39035,2012,495.74324491216726,496,1,Severe,3
60,51590,2012,10.070167676189923,11,3,Normal,1
61,42043,2012,102.30871950943562,103,5,Critical,2
62,21059,2012,11.41716154233291,12,4,Normal,1
63,39039,2012,10.126717460959032,11,5,Normal,1
64,39041,2012,28.176616950524412,29,5,Critical,2
65,42045,2012,127.93475731807959,128,3,Critical,2
66,51051,2012,9.5216885538763,10,6,Normal,1
67,54017,2012,3.561265561719944,4,8,Good,0
68,39043,2012,74.91287400269891,75,3,Critical,2
69,42049,2012,97.85230149381418,98,1,Critical,2
70,51057,2012,9.158302083680429,10,6,Normal,1
71,51059,2012,187.85135525143428,188,9,Critical,2
72,21001,2012,10.936796793567838,11,8,Normal,1
73,51003,2012,8.537568187087826,9,7,Normal,1
74,51005,2012,15.90831705156825,16,7,Normal,1
75,39003,2012,71.93989937999108,72,6,Critical,2
76,51009,2012,14.8676726836576,15,9,Normal,1
77,51015,2012,19.85002467574187,20,7,Normal,1
78,51017,2012,1.9892416076937172,2,7,Good,0
79,42007,2012,32.169408637010285,33,7,Critical,2
80,39013,2012,21.78761323014775,22,8,Normal,1
81,21017,2012,10.93528304752852,11,10,Normal,1
82,21019,2012,45.094366659615346,46,7,Critical,2
83,21021,2012,3.7249696887518486,4,10,Good,0
84,51520,2012,7.370330644759997,8,3,Normal,1
85,51027,2012,42.148637982169156,43,5,Critical,2
86,51530,2012,11.916993924131019,12,9,Normal,1
87,21035,2012,0.26499416910765505,1,4,Good,0
88,21037,2012,129.39544180533377,130,9,Critical,2
89,51031,2012,6.030640211684518,7,6,Good,0
90,51035,2012,27.29576096416321,28,7,Critical,2
91,42027,2012,17.63947237399693,18,2,Normal,1
92,39021,2012,17.28629914002677,18,6,Normal,1
93,21049,2012,19.56791588056419,20,10,Normal,1
94,51043,2012,3.003810632510025,4,7,Good,0
95,21051,2012,22.08771325949649,23,8,Critical,2
96,21053,2012,2.8770891539591488,3,5,Good,0
97,42035,2012,9.401552778593434,10,1,Normal,1
98,39031,2012,12.335600104499731,13,5,Normal,1
99,51045,2012,0.99858936772353,1,9,Good,0
100,51047,2012,12.153883908629274,13,10,Normal,1
101,21057,2012,6.197942766312193,7,5,Good,0
102,51049,2012,8.922480205017344,9,7,Normal,1
103,39037,2012,15.621928941474696,16,4,Normal,1
104,51053,2012,1.358191054053142,2,11,Good,0
105,21063,2012,4.791305866606955,5,8,Good,0
106,51600,2012,5.9172614610997565,6,8,Good,0
107,39045,2012,49.92218055240115,50,5,Critical,2
108,21005,2012,9.152927464171594,10,11,Normal,1
109,51515,2012,10.662277156248619,11,9,Normal,1
110,42013,2012,67.06205147623179,68,2,Critical,2
111,51023,2012,18.915805673680264,19,10,Normal,1
112,42015,2012,20.856816788578808,21,1,Normal,1
113,51037,2012,6.360947808500428,7,6,Good,0
114,42041,2012,7.121751130971838,8,5,Normal,1
115,42047,2012,14.641655597051475,15,4,Normal,1
116,51595,2012,7.871099093998888,8,5,Normal,1
117,21065,2012,11.391779632071525,12,10,Normal,1
118,54009,2012,7.845561635563038,8,8,Normal,1
119,21031,2012,6.814398246267323,7,6,Good,0
120,21039,2012,14.064156998001025,15,5,Normal,1
121,39023,2012,2.580766085690049,3,6,Good,0
122,54015,2012,6.100596905338168,7,6,Good,0
123,21007,2012,8.030839445583553,9,4,Normal,1
124,51025,2012,11.716540656815814,12,6,Normal,1
125,21033,2012,9.688698992416883,10,7,Normal,1
126,51610,2012,3.5096915034610534,4,7,Good,0
127,21067,2012,109.01809670680326,110,12,Critical,2
128,21061,2012,11.844935774594948,12,5,Normal,1
129,51061,2012,30.971018725480658,31,10,Critical,2
130,51011,2012,13.262701761985054,14,7,Normal,1
131,39047,2012,5.067986213187152,6,7,Good,0
132,42051,2012,62.5694219442756,63,3,Critical,2
133,21071,2012,30.78980697012648,31,5,Critical,2
134,51063,2012,10.790154237694775,11,8,Normal,1
135,51065,2012,12.853847079433606,13,7,Normal,1
136,21073,2012,32.899250545264145,33,10,Critical,2
137,39049,2012,446.5220282395119,447,6,Severe,3
138,42055,2012,17.53950988329283,18,3,Normal,1
139,51067,2012,29.346448113282023,30,8,Critical,2
140,51069,2012,13.15851008061516,14,8,Normal,1
141,21075,2012,1.1168738130510072,2,2,Good,0
142,42057,2012,8.567106032935344,9,3,Normal,1
143,51640,2012,13.053148002197814,14,4,Normal,1
