,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank
0,51001,2012,12.605950588773403,13,0,Normal,1,0,-5,Lightly_Decrease,-1,-50.0,Not_Likely,0
1,39001,2012,21.88686951358337,22,6,Normal,1,-1,-17,Decrease,-2,10.0,Possible,1
2,42001,2012,2.5889530281541795,3,3,Good,0,0,-1,Stable,0,30.0,Possible,1
3,51510,2012,10.100269713802867,11,6,Normal,1,-1,-7,Decrease,-2,-44.44444444444444,Not_Likely,0
4,42003,2012,255.5533548656181,256,4,Severe,3,0,841,Extremely_Increase,3,25.0,Possible,1
5,21003,2012,11.886525868644496,12,4,Normal,1,-1,-8,Decrease,-2,-21.428571428571427,Not_Likely,0
6,51007,2012,5.129479201735043,6,9,Good,0,1,3,Lightly_Increase,1,32.142857142857146,Possible,1
7,51013,2012,35.170402979880876,36,6,Critical,2,-1,-17,Decrease,-2,-44.44444444444444,Not_Likely,0
8,42005,2012,13.33591079001167,14,3,Normal,1,0,6,Increase,2,35.714285714285715,Possible,1
9,39005,2012,34.75081089101202,35,5,Critical,2,0,22,Increase,2,50.0,Highly_Possible,2
10,39007,2012,28.801098907684555,29,0,Critical,2,-2,-25,Decrease,-2,-40.0,Not_Likely,0
11,39009,2012,49.45342858632989,50,7,Critical,2,0,-23,Decrease,-2,-18.75,Not_Likely,0
12,39011,2012,9.572870550652416,10,6,Normal,1,0,8,Increase,2,0.0,Not_Likely,0
13,54001,2012,2.1877975595745007,3,8,Good,0,1,5,Lightly_Increase,1,-35.0,Not_Likely,0
14,21009,2012,1.5118836298459035,2,7,Good,0,0,2,Stable,0,-20.0,Not_Likely,0
15,21011,2012,16.684513809683875,17,11,Normal,1,-1,-14,Decrease,-2,-31.25,Not_Likely,0
16,42009,2012,17.19546319839753,18,2,Normal,1,-1,-17,Decrease,-2,-8.333333333333334,Not_Likely,0
17,51019,2012,31.948672040039845,32,9,Critical,2,-1,-15,Decrease,-2,0.0,Not_Likely,0
18,21013,2012,6.564991704647984,7,6,Good,0,2,18,Increase,2,25.0,Possible,1
19,54003,2012,84.77093262953953,85,5,Critical,2,0,-53,Extremely_Decrease,-3,-15.0,Not_Likely,0
20,42011,2012,78.01568099271266,79,4,Critical,2,0,24,Increase,2,6.25,Possible,1
21,51021,2012,13.212176926574378,14,6,Normal,1,0,-7,Decrease,-2,-16.666666666666668,Not_Likely,0
22,21015,2012,32.420037761581675,33,7,Critical,2,0,10,Increase,2,-13.636363636363637,Not_Likely,0
23,54005,2012,6.878756297236975,7,5,Good,0,1,1,Stable,0,16.666666666666668,Possible,1
24,21023,2012,13.748712589225173,14,11,Normal,1,0,0,Stable,0,-10.714285714285714,Not_Likely,0
25,54007,2012,9.010832715532873,10,7,Normal,1,-1,-8,Decrease,-2,0.0,Not_Likely,0
26,21025,2012,25.44345599982296,26,8,Critical,2,-2,-22,Decrease,-2,-33.333333333333336,Not_Likely,0
27,21027,2012,7.060093392216622,8,5,Normal,1,-1,-4,Lightly_Decrease,-1,-28.571428571428573,Not_Likely,0
28,39015,2012,17.61781830524385,18,8,Normal,1,1,16,Increase,2,0.0,Not_Likely,0
29,51029,2012,0.33263203247778284,1,5,Good,0,1,7,Increase,2,25.0,Possible,1
30,42017,2012,319.062051549008,320,3,Severe,3,-2,-302,Extremely_Decrease,-3,-8.333333333333334,Not_Likely,0
31,21029,2012,22.11781755204721,23,6,Critical,2,-2,-19,Decrease,-2,-15.0,Not_Likely,0
32,39017,2012,231.70549736758568,232,4,Severe,3,0,39,Increase,2,16.666666666666668,Possible,1
33,42019,2012,13.507093720436645,14,4,Normal,1,0,9,Increase,2,75.0,Highly_Possible,2
34,54011,2012,63.74038606542248,64,7,Critical,2,0,-11,Decrease,-2,38.888888888888886,Possible,1
35,54013,2012,1.5603898058284214,2,7,Good,0,1,11,Increase,2,16.666666666666668,Possible,1
36,42021,2012,41.835464074458734,42,2,Critical,2,0,88,Extremely_Increase,3,-10.0,Not_Likely,0
37,42023,2012,8.519912525763099,9,2,Normal,1,0,-1,Stable,0,8.333333333333334,Possible,1
38,42025,2012,20.119786048341318,21,5,Normal,1,0,-12,Decrease,-2,-25.0,Not_Likely,0
39,51033,2012,7.550890164497798,8,8,Normal,1,0,0,Stable,0,19.23076923076923,Possible,1
40,21041,2012,20.037553198703574,21,8,Normal,1,0,-9,Decrease,-2,-9.090909090909092,Not_Likely,0
41,39019,2012,11.616418207132305,12,6,Normal,1,0,1,Stable,0,50.0,Highly_Possible,2
42,21043,2012,61.42271127511161,62,7,Critical,2,-1,-45,Decrease,-2,3.8461538461538463,Possible,1
43,21045,2012,15.006672188045773,16,8,Normal,1,0,1,Stable,0,-21.428571428571427,Not_Likely,0
44,51540,2012,10.235264154218989,11,8,Normal,1,0,-2,Stable,0,-19.23076923076923,Not_Likely,0
45,51550,2012,10.264895170285461,11,8,Normal,1,1,42,Increase,2,35.0,Possible,1
46,42029,2012,68.76166517780396,69,3,Critical,2,0,-10,Decrease,-2,75.0,Highly_Possible,2
47,51041,2012,110.56614554460127,111,13,Critical,2,0,-22,Decrease,-2,29.41176470588235,Possible,1
48,21047,2012,12.714891428202462,13,5,Normal,1,0,-3,Lightly_Decrease,-1,-37.5,Not_Likely,0
49,42031,2012,12.032497207344726,13,4,Normal,1,0,3,Lightly_Increase,1,41.666666666666664,Possible,1
50,42033,2012,15.525278369162756,16,2,Normal,1,0,-5,Lightly_Decrease,-1,-28.571428571428573,Not_Likely,0
51,39025,2012,33.411944831718785,34,9,Critical,2,0,20,Increase,2,15.384615384615385,Possible,1
52,39027,2012,21.727179891896117,22,5,Normal,1,0,-13,Decrease,-2,38.888888888888886,Possible,1
53,51570,2012,7.412631733011212,8,11,Normal,1,0,8,Increase,2,13.88888888888889,Possible,1
54,42037,2012,5.635056688049492,6,5,Good,0,1,13,Increase,2,-7.142857142857143,Not_Likely,0
55,39029,2012,16.225143821802035,17,7,Normal,1,1,21,Increase,2,22.727272727272727,Possible,1
56,39033,2012,10.594837460749904,11,6,Normal,1,1,17,Increase,2,38.888888888888886,Possible,1
57,42039,2012,14.763081517361796,15,3,Normal,1,0,3,Lightly_Increase,1,0.0,Not_Likely,0
58,21055,2012,14.271232084258928,15,5,Normal,1,0,0,Stable,0,0.0,Not_Likely,0
59,39035,2012,495.74324491216726,496,1,Severe,3,-1,-285,Extremely_Decrease,-3,-25.0,Not_Likely,0
60,51590,2012,10.070167676189923,11,3,Normal,1,0,1,Stable,0,20.0,Possible,1
61,42043,2012,102.30871950943562,103,5,Critical,2,0,-24,Decrease,-2,0.0,Not_Likely,0
62,21059,2012,11.41716154233291,12,4,Normal,1,0,-5,Lightly_Decrease,-1,-31.25,Not_Likely,0
63,39039,2012,10.126717460959032,11,5,Normal,1,1,23,Increase,2,-14.285714285714286,Not_Likely,0
64,39041,2012,28.176616950524412,29,5,Critical,2,-2,-24,Decrease,-2,-37.5,Not_Likely,0
65,42045,2012,127.93475731807959,128,3,Critical,2,0,29,Increase,2,10.0,Possible,1
