,Drug,Year,Score_Drug_1,Score_Drug_2,Score_Drug_3
0,Propoxyphene,2012,0.0014253742760769053,0.0025112109267254267,0.0035110741101775753
1,Morphine,2012,0.002026253409198987,0.050332549875006814,0.06854060580509569
2,Methadone,2012,0.006852314286923071,0.04704086898102889,0.04305150516929575
3,Heroin,2012,0.7306053920779614,0.6776818229403572,0.6269333005046571
4,Hydromorphone,2012,0.023223785880807334,0.020347253482226792,0.009693502672669744
5,Oxycodone,2012,0.3797229142476968,0.12251778544182061,0.633823849508608
6,Oxymorphone,2012,0.026117666435054473,0.004807284215501181,0.04220298726805079
7,Dextropropoxyphene,2012,0.002862706462258037,0.0006951348025397361,0.0015710307418125484
8,Buprenorphine,2012,0.0630188784833281,0.10541243279510834,0.04102819763604277
9,Fentanyl,2012,0.28826809417672117,0.21147876241815644,0.00400894855752832
10,Meperidine,2012,0.00022130311407053238,0.0017525332278134067,0.0035463217228240557
11,Hydrocodone,2012,0.004266311094017361,0.0027854707467153046,0.00554496443468481
12,Dihydromorphone,2012,0.000293619222778508,0.0018109928641462665,0.0028311963086239153
13,Methorphan,2012,0.0003759013652941896,0.003565257403694194,0.0029964434721469397
14,Codeine,2012,0.014719922851907841,0.01598759799610096,0.008995930454020475
15,Tramadol,2012,0.005926631054586646,0.024466945880809304,0.000593501095230694
16,Pethidine,2012,0.0001876208958107326,0.001706880837439608,0.0030757918447275796
17,Dihydrocodeine,2012,0.0023186134358187875,0.002042660084903083,0.0006738156342458497
18,Opiates,2012,0.00031033474700453576,0.0023073106097551066,0.0027938873846553225
19,Opium,2012,0.002946284314181061,0.0009478139849352531,0.0010866770763200858
20,Pentazocine,2012,0.002225182414337243,0.0013096814817127904,0.0017977228898182949
21,Alphaprodine,2012,0.0020229102596455075,0.0027994867297643647,0.00014888038184886362
22,Acetylcodeine,2012,0.0022369932991867353,0.0019658626528486515,0.0007537058449814878
23,Thebaine,2012,0.0006703572868771764,0.0021757406623011785,0.002100475829194668
24,Butorphanol,2012,0.0028442574134566524,0.0009997133074701482,0.0011752377419539017
25,Nalbuphine,2012,0.0015297501809689038,0.001172690282721154,0.0022316895013262165
26,ANPP,2012,0.001330144673612704,0.0005823895876075961,0.003008104159968258
27,Desmethylprodine ,2012,0.0003630043525656603,0.002552452983397664,0.002111892579542776
28,Remifentanil,2012,0.0008062860693843865,0.0012784916445116006,0.002882689953954605
29,Mitragynine,2012,0.001864671635836918,0.002126272378815511,0.001635525800065157
30,Acetyldihydrocodeine,2012,0.00018920451299906768,0.003458857019931611,0.0013568434286794454
31,Hydrocodeinone,2012,0.0013224048989130355,0.00216867101024775,0.0014611945942005215
32,MT-45,2012,0.0024427524999775805,0.002342345920220186,0.0001808480799723947
33,Levorphanol,2012,0.002059854105373935,0.0013210654700267245,0.0015611169693743577
34,Acetyl fentanyl,2012,0.001478014513258999,0.0004996830435279511,0.0029421196188502887
35,Butyryl fentanyl,2012,0.0020498675395923174,0.0009081784761655938,0.00197546553501702
36,Furanyl fentanyl,2012,0.0024646363007394196,0.0015767522876729222,0.0009094570277569543
37,p-Fluorobutyryl fentanyl,2012,0.0017419217676445979,0.0018992201245367545,0.0013096179646769023
38,cis-3-methylfentanyl,2012,0.0005339257413216326,0.0018821417880133487,0.0025233837690539413
39,Valeryl fentanyl,2012,0.0015924314717578486,0.001730140851790191,0.0016234648378115983
40,Carfentanil,2012,0.0019429125064068626,0.0018672223364030744,0.0011418131485423709
41,Acryl fentanyl,2012,0.0024968192657109844,0.0018123052448476278,0.0006466634701996855
42,U-47700,2012,0.002554202275551617,0.0008454266140314954,0.001537382563611513
43,3-Methylfentanyl,2012,0.0018530266486027932,5.281190324864932e-05,0.003008492320342826
44,4-Fluoroisobutyryl fentanyl,2012,0.00153195208792161,0.0019082087045122294,0.001508885046719757
45,trans-3-Methylfentanyl,2012,0.0010787066216779047,0.00201969620510781,0.0018486559692759232
46,p-methoxybutyryl fentanyl,2012,0.001893026047143998,0.0013840444975230927,0.0016647507670945483
