,Unnamed: 0,FIPS,Year,Score_County_3,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank,is_Surrounded,is_Affected,is_Affected_Rank
0,0,51001,2011,9.76455712051759,10,0,Normal,1,0,-2,Stable,0,10.0,Possible,1,6.000000000000001,Not_Likely,0
1,1,39001,2011,1.4307312647222634,2,6,Good,0,2,48,Increase,2,15.0,Possible,1,15.000000000000004,Possible,1
2,2,42001,2011,14.076265928634527,15,3,Normal,1,0,2,Stable,0,20.0,Possible,1,24.797975842208324,Possible,1
3,3,51510,2011,7.19132579578066,8,6,Normal,1,-1,-6,Lightly_Decrease,-1,-11.111111111111109,Not_Likely,0,6.436800053726279,Not_Likely,0
4,4,42003,2011,608.0723849882804,609,4,Severe,3,0,611,Extremely_Increase,3,37.5,Possible,1,8.75,Not_Likely,0
5,5,21003,2011,10.347490260264186,11,4,Normal,1,0,2,Stable,0,-21.428571428571427,Not_Likely,0,0.0,Not_Likely,0
6,6,51007,2011,12.535786563362944,13,9,Normal,1,0,-3,Stable,0,-3.571428571428572,Not_Likely,0,2.1428571428571432,Not_Likely,0
7,7,51013,2011,13.23986460083467,14,6,Normal,1,0,2,Stable,0,-11.111111111111109,Not_Likely,0,8.864791611741392,Not_Likely,0
8,8,42005,2011,29.414586814210605,30,3,Critical,2,0,3,Stable,0,35.714285714285715,Possible,1,7.142857142857143,Not_Likely,0
9,9,39005,2011,35.897786055310156,36,5,Critical,2,0,-14,Decrease,-2,0.0,Not_Likely,0,0.0,Not_Likely,0
10,10,39007,2011,14.853761187325153,15,0,Normal,1,1,27,Increase,2,-10.0,Not_Likely,0,20.867639827925778,Possible,1
11,11,39009,2011,24.065708454452185,25,7,Critical,2,0,13,Increase,2,37.5,Possible,1,22.368220037742798,Possible,1
12,12,39011,2011,9.879480224013447,10,6,Normal,1,0,8,Lightly_Increase,1,0.0,Not_Likely,0,5.0,Not_Likely,0
13,13,54001,2011,1.2348974811723452,2,8,Good,0,1,9,Lightly_Increase,1,25.0,Possible,1,9.999999999999998,Not_Likely,0
14,14,21009,2011,37.57852253788665,38,7,Critical,2,-1,-26,Decrease,-2,-20.0,Not_Likely,0,0.0,Not_Likely,0
15,15,21011,2011,17.913198303075408,18,11,Normal,1,0,-7,Lightly_Decrease,-1,-12.5,Not_Likely,0,3.125,Not_Likely,0
16,16,42009,2011,2.555548645392629,3,2,Good,0,1,5,Stable,0,-8.333333333333334,Not_Likely,0,21.618404554437753,Possible,1
17,17,51019,2011,3.1350606271860486,4,9,Good,0,1,10,Lightly_Increase,1,11.538461538461537,Possible,1,8.176130231675536,Not_Likely,0
18,18,21013,2011,22.203743831310486,23,6,Critical,2,0,31,Increase,2,56.25,Highly_Possible,2,66.25000000000001,Highly_Possible,2
19,19,54003,2011,44.493816569200035,45,5,Critical,2,0,-20,Decrease,-2,25.0,Possible,1,8.999999999999998,Not_Likely,0
20,20,42011,2011,27.756419726720747,28,4,Critical,2,0,73,Increase,2,25.0,Possible,1,30.43962958709828,Highly_Possible,2
