,County,State
0,ACCOMACK,VA
1,ADAMS,OH
2,ATHENS,OH
3,AUGLAIZE,OH
4,BARBOUR,WV
5,BATH,KY
6,BELL,KY
7,BERKELEY,WV
8,BLAND,VA
9,BOONE,WV
10,BRACKEN,KY
11,BRAXTON,WV
12,BRECKINRIDGE,KY
13,BROWN,OH
14,BUCKS,PA
15,BUTLER,OH
16,CARBON,PA
17,CARROLL,OH
18,CARTER,KY
19,CASEY,KY
20,CHARLOTTESVILLE CITY,VA
21,CHESTER,PA
22,CLERMONT,OH
23,CLINTON,OH
24,COLUMBIA,PA
25,COLUMBIANA,OH
26,CRAWFORD,OH
27,CRAWFORD,PA
28,CUYAHOGA,OH
29,DANVILLE CITY,VA
30,DAUPHIN,PA
31,DEFIANCE,OH
32,DELAWARE,OH
33,DELAWARE,PA
34,DICKENSON,VA
35,DODDRIDGE,WV
36,ERIE,PA
37,FAIRFAX,VA
38,ALBEMARLE,VA
39,ALLEGHANY,VA
40,ALLEN,OH
41,AMHERST,VA
42,AUGUSTA,VA
43,BATH,VA
44,BOURBON,KY
45,BOYD,KY
46,BUCHANAN,VA
47,BUENA VISTA CITY,VA
48,CALLOWAY,KY
49,CAMPBELL,KY
50,CAMPBELL,VA
51,CARROLL,VA
52,CENTRE,PA
53,CLARK,KY
54,CLARKE,VA
55,CLAY,KY
56,CLINTON,PA
57,CRAIG,VA
58,CULPEPER,VA
59,CUMBERLAND,VA
60,DARKE,OH
61,DINWIDDIE,VA
62,ELLIOTT,KY
63,FAIRFIELD,OH
64,ANDERSON,KY
65,BEDFORD CITY,VA
66,BLAIR,PA
67,BRADFORD,PA
68,CUMBERLAND,PA
69,EMPORIA CITY,VA
70,CARLISLE,KY
71,CLARK,OH
72,CLAY,WV
73,BALLARD,KY
74,BRUNSWICK,VA
75,FAYETTE,KY
76,FAUQUIER,VA
77,APPOMATTOX,VA
78,FAYETTE,PA
79,FLOYD,KY
80,FLUVANNA,VA
81,FRANKLIN,KY
82,FRANKLIN,OH
83,FRANKLIN,PA
84,FRANKLIN,VA
85,FREDERICK,VA
86,FULTON,KY
87,FULTON,PA
88,GALAX CITY,VA
89,GEAUGA,OH
90,GOOCHLAND,VA
91,GRANT,WV
92,GRAVES,KY
93,GRAYSON,VA
94,GREENBRIER,WV
95,GREENE,VA
96,HALIFAX,VA
97,HAMILTON,OH
98,HARDIN,OH
99,HARDY,WV
100,HARRISON,WV
101,HARRISONBURG CITY,VA
102,HUNTINGDON,PA
103,JACKSON,WV
104,JEFFERSON,WV
105,JOHNSON,KY
106,KENTON,KY
107,KNOTT,KY
108,KNOX,KY
109,KNOX,OH
