,County,State
0,AUGLAIZE,OH
1,BATH,KY
2,BEDFORD,PA
3,BLAND,VA
4,BRACKEN,KY
5,BULLITT,KY
6,CALHOUN,WV
7,CARROLL,KY
8,CHARLOTTESVILLE CITY,VA
9,CHRISTIAN,KY
10,DAVIESS,KY
11,DELAWARE,OH
12,ESSEX,VA
13,ADAIR,KY
14,BOYD,KY
15,BRISTOL,VA
16,CENTRE,PA
17,COSHOCTON,OH
18,CRAIG,VA
19,DINWIDDIE,VA
20,ELLIOTT,KY
21,ANDERSON,KY
22,BROOKE,WV
23,EDMONSON,KY
24,FAUQUIER,VA
25,FLOYD,KY
26,FRANKLIN,KY
27,GALAX CITY,VA
28,GOOCHLAND,VA
29,GRANT,WV
30,HARDIN,OH
31,HARDY,WV
32,HART,KY
33,JACKSON,WV
34,JAMES CITY,VA
35,KNOX,OH
36,LOUISA,VA
37,GREEN,KY
38,HENRY,KY
39,JACKSON,KY
40,JESSAMINE,KY
41,LINCOLN,KY
42,JUNIATA,PA
43,LYON,KY
44,MAGOFFIN,KY
45,MARTIN,KY
46,MASON,WV
47,MCCRACKEN,KY
48,MENIFEE,KY
49,MERCER,OH
50,HENRY,OH
51,LAWRENCE,OH
52,MCLEAN,KY
53,GALLATIN,KY
54,LEXINGTON CITY,VA
55,LANCASTER,VA
56,MONROE,OH
57,MORGAN,OH
58,MORROW,OH
59,MUHLENBERG,KY
60,OWEN,KY
61,PORTSMOUTH CITY,VA
62,MONROE,KY
63,OWSLEY,KY
64,PATRICK,VA
65,POCAHONTAS,WV
66,POWELL,KY
67,RITCHIE,WV
68,SALEM,VA
69,NORTHUMBERLAND,VA
70,OLDHAM,KY
71,PRINCE GEORGE,VA
72,RICHMOND,VA
73,ROCKCASTLE,KY
74,PUTNAM,OH
75,RUSSELL,KY
76,SENECA,OH
77,SOMERSET,PA
78,NOTTOWAY,VA
79,PUTNAM,WV
80,STAUNTON CITY,VA
81,SULLIVAN,PA
82,WHITLEY,KY
83,TUCKER,WV
84,TYLER,WV
85,WASHINGTON,KY
86,WAYNE,PA
87,WEBSTER,KY
88,WINCHESTER CITY,VA
89,WOLFE,KY
90,TODD,KY
91,WILLIAMS,OH
92,HAMPSHIRE,WV
93,HARRISON,OH
94,LEWIS,WV
95,NORTHAMPTON,VA
96,KING AND QUEEN,VA
97,HANCOCK,KY
98,COVINGTON CITY,VA
