,County_KY
0,ALLEN
1,BARREN
2,BATH
3,BELL
4,BOONE
5,BRACKEN
6,BREATHITT
7,BRECKINRIDGE
8,BULLITT
9,CARROLL
10,CARTER
11,CASEY
12,CHRISTIAN
13,CRITTENDEN
14,DAVIESS
15,ADAIR
16,BOURBON
17,BOYD
18,BOYLE
19,CALLOWAY
20,CAMPBELL
21,CLARK
22,CLAY
23,CLINTON
24,CUMBERLAND
25,ELLIOTT
26,ANDERSON
27,ESTILL
28,BUTLER
29,CARLISLE
30,BALLARD
31,CALDWELL
32,FAYETTE
33,EDMONSON
34,FLOYD
35,FRANKLIN
36,FULTON
37,GRANT
38,GRAVES
39,GRAYSON
40,HART
41,HENDERSON
42,HOPKINS
43,JEFFERSON
44,JOHNSON
45,KENTON
46,KNOTT
47,KNOX
48,LAUREL
49,LOGAN
50,FLEMING
51,GARRARD
52,GREEN
53,GREENUP
54,HARLAN
55,HARRISON
56,HENRY
57,JACKSON
58,JESSAMINE
59,LAWRENCE
60,LEE
61,LESLIE
62,LETCHER
63,LEWIS
64,LINCOLN
65,LIVINGSTON
66,HARDIN
67,LYON
68,MADISON
69,MAGOFFIN
70,MARTIN
71,MASON
72,MCCRACKEN
73,MCCREARY
74,MENIFEE
75,MARION
76,MARSHALL
77,MCLEAN
78,MERCER
79,GALLATIN
80,LARUE
81,MUHLENBERG
82,OWEN
83,PENDLETON
84,PIKE
85,MONROE
86,MONTGOMERY
87,MORGAN
88,NELSON
89,OHIO
90,OWSLEY
91,POWELL
92,PULASKI
93,ROWAN
94,MEADE
95,OLDHAM
96,PERRY
97,ROBERTSON
98,ROCKCASTLE
99,METCALFE
100,RUSSELL
101,SIMPSON
102,NICHOLAS
103,SCOTT
104,SPENCER
105,TAYLOR
106,WARREN
107,SHELBY
108,WAYNE
109,WHITLEY
110,TRIGG
111,WASHINGTON
112,WEBSTER
113,WOLFE
114,TODD
115,TRIMBLE
116,WOODFORD
117,HICKMAN
118,UNION
119,HANCOCK
