,index,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState
0,1,2010,OH,ADAMS,39,1,39001,Morphine,9,527,70999
1,10,2010,OH,ASHLAND,39,5,39005,Oxycodone,45,766,70999
2,11,2010,OH,ASHLAND,39,5,39005,Oxymorphone,2,766,70999
3,12,2010,OH,ASHTABULA,39,7,39007,Buprenorphine,7,571,70999
4,13,2010,OH,ASHTABULA,39,7,39007,Hydrocodone,21,571,70999
5,14,2010,OH,ATHENS,39,9,39009,Heroin,72,664,70999
6,15,2010,OH,ATHENS,39,9,39009,Propoxyphene,1,664,70999
7,16,2010,OH,AUGLAIZE,39,11,39011,Heroin,35,184,70999
8,17,2010,OH,AUGLAIZE,39,11,39011,Methadone,1,184,70999
9,18,2010,OH,AUGLAIZE,39,11,39011,Propoxyphene,2,184,70999
10,36,2010,OH,BROWN,39,15,39015,Fentanyl,1,213,70999
11,37,2010,OH,BROWN,39,15,39015,Heroin,14,213,70999
12,43,2010,OH,BUTLER,39,17,39017,Buprenorphine,15,1825,70999
13,44,2010,OH,BUTLER,39,17,39017,Hydrocodone,80,1825,70999
14,57,2010,OH,CARROLL,39,19,39019,Oxycodone,2,57,70999
15,69,2010,OH,CLERMONT,39,25,39025,Methadone,17,752,70999
16,70,2010,OH,CLINTON,39,27,39027,Methadone,5,455,70999
17,74,2010,OH,COLUMBIANA,39,29,39029,Heroin,34,341,70999
18,75,2010,OH,COLUMBIANA,39,29,39029,Methadone,1,341,70999
19,76,2010,OH,CRAWFORD,39,33,39033,Morphine,3,218,70999
20,81,2010,OH,CUYAHOGA,39,35,39035,Methorphan,2,3556,70999
21,82,2010,OH,CUYAHOGA,39,35,39035,Oxycodone,251,3556,70999
22,83,2010,OH,CUYAHOGA,39,35,39035,Oxymorphone,4,3556,70999
23,87,2010,OH,DEFIANCE,39,39,39039,Buprenorphine,2,589,70999
24,88,2010,OH,DEFIANCE,39,39,39039,Hydrocodone,9,589,70999
25,89,2010,OH,DELAWARE,39,41,39041,Hydromorphone,1,1774,70999
26,94,2010,OH,ERIE,39,43,39043,Buprenorphine,5,552,70999
27,95,2010,OH,ERIE,39,43,39043,Propoxyphene,1,552,70999
28,109,2010,OH,ALLEN,39,3,39003,Oxycodone,51,580,70999
29,113,2010,OH,ASHLAND,39,5,39005,Codeine,1,766,70999
30,114,2010,OH,AUGLAIZE,39,11,39011,Hydrocodone,4,184,70999
31,124,2010,OH,BELMONT,39,13,39013,Codeine,1,231,70999
32,137,2010,OH,BROWN,39,15,39015,Morphine,5,213,70999
33,152,2010,OH,CHAMPAIGN,39,21,39021,Hydrocodone,17,214,70999
34,162,2010,OH,CLERMONT,39,25,39025,Codeine,2,752,70999
35,164,2010,OH,CLINTON,39,27,39027,Fentanyl,2,455,70999
36,165,2010,OH,CLINTON,39,27,39027,Morphine,5,455,70999
37,170,2010,OH,COSHOCTON,39,31,39031,Oxycodone,2,75,70999
38,178,2010,OH,CUYAHOGA,39,35,39035,Buprenorphine,36,3556,70999
39,179,2010,OH,DARKE,39,37,39037,Morphine,2,156,70999
40,184,2010,OH,DELAWARE,39,41,39041,Morphine,4,1774,70999
41,190,2010,OH,ERIE,39,43,39043,Hydrocodone,19,552,70999
42,191,2010,OH,ERIE,39,43,39043,Oxycodone,40,552,70999
43,192,2010,OH,ERIE,39,43,39043,Oxymorphone,4,552,70999
44,199,2010,OH,FAIRFIELD,39,45,39045,Heroin,186,846,70999
45,206,2010,OH,ALLEN,39,3,39003,Fentanyl,1,580,70999
46,207,2010,OH,ALLEN,39,3,39003,Propoxyphene,2,580,70999
47,215,2010,OH,ATHENS,39,9,39009,Morphine,4,664,70999
48,222,2010,OH,BELMONT,39,13,39013,Oxycodone,19,231,70999
49,245,2010,OH,BUTLER,39,17,39017,Methadone,17,1825,70999
50,251,2010,OH,CARROLL,39,19,39019,Buprenorphine,1,57,70999
51,255,2010,OH,CHAMPAIGN,39,21,39021,Fentanyl,1,214,70999
52,256,2010,OH,CHAMPAIGN,39,21,39021,Heroin,37,214,70999
53,272,2010,OH,CLERMONT,39,25,39025,Fentanyl,1,752,70999
54,273,2010,OH,CLERMONT,39,25,39025,Heroin,167,752,70999
55,274,2010,OH,CLINTON,39,27,39027,Buprenorphine,7,455,70999
56,275,2010,OH,CLINTON,39,27,39027,Hydrocodone,17,455,70999
57,277,2010,OH,COLUMBIANA,39,29,39029,Buprenorphine,2,341,70999
58,278,2010,OH,COLUMBIANA,39,29,39029,Morphine,2,341,70999
59,281,2010,OH,CRAWFORD,39,33,39033,Heroin,48,218,70999
60,282,2010,OH,CRAWFORD,39,33,39033,Propoxyphene,2,218,70999
61,286,2010,OH,CUYAHOGA,39,35,39035,Codeine,12,3556,70999
62,287,2010,OH,CUYAHOGA,39,35,39035,Morphine,21,3556,70999
63,288,2010,OH,DEFIANCE,39,39,39039,Methadone,2,589,70999
64,289,2010,OH,DELAWARE,39,41,39041,Oxycodone,82,1774,70999
65,301,2010,OH,ADAMS,39,1,39001,Buprenorphine,6,527,70999
66,302,2010,OH,ADAMS,39,1,39001,Heroin,50,527,70999
67,303,2010,OH,ADAMS,39,1,39001,Tramadol,1,527,70999
68,313,2010,OH,ASHLAND,39,5,39005,Heroin,82,766,70999
69,314,2010,OH,ASHLAND,39,5,39005,Methadone,2,766,70999
70,315,2010,OH,ASHTABULA,39,7,39007,Codeine,3,571,70999
71,316,2010,OH,ASHTABULA,39,7,39007,Morphine,3,571,70999
72,317,2010,OH,ATHENS,39,9,39009,Oxycodone,122,664,70999
73,318,2010,OH,ATHENS,39,9,39009,Oxymorphone,3,664,70999
74,319,2010,OH,AUGLAIZE,39,11,39011,Oxycodone,6,184,70999
75,344,2010,OH,BROWN,39,15,39015,Oxycodone,35,213,70999
76,345,2010,OH,BROWN,39,15,39015,Oxymorphone,2,213,70999
77,351,2010,OH,BUTLER,39,17,39017,Codeine,3,1825,70999
78,352,2010,OH,BUTLER,39,17,39017,Morphine,15,1825,70999
79,365,2010,OH,CHAMPAIGN,39,21,39021,Morphine,4,214,70999
80,371,2010,OH,CLARK,39,23,39023,Hydrocodone,3,186,70999
81,372,2010,OH,CLARK,39,23,39023,Oxycodone,3,186,70999
82,379,2010,OH,COSHOCTON,39,31,39031,Hydrocodone,2,75,70999
83,380,2010,OH,COSHOCTON,39,31,39031,Morphine,4,75,70999
84,382,2010,OH,CRAWFORD,39,33,39033,Buprenorphine,2,218,70999
85,387,2010,OH,CUYAHOGA,39,35,39035,Fentanyl,1,3556,70999
86,388,2010,OH,CUYAHOGA,39,35,39035,Heroin,462,3556,70999
87,389,2010,OH,CUYAHOGA,39,35,39035,Propoxyphene,7,3556,70999
88,391,2010,OH,DARKE,39,37,39037,Buprenorphine,2,156,70999
89,392,2010,OH,DARKE,39,37,39037,Hydrocodone,2,156,70999
90,393,2010,OH,DARKE,39,37,39037,Propoxyphene,1,156,70999
91,397,2010,OH,DEFIANCE,39,39,39039,Codeine,12,589,70999
92,407,2010,OH,ALLEN,39,3,39003,Heroin,43,580,70999
93,408,2010,OH,ALLEN,39,3,39003,Methadone,2,580,70999
94,413,2010,OH,ASHLAND,39,5,39005,Hydrocodone,13,766,70999
95,414,2010,OH,ASHLAND,39,5,39005,Tramadol,8,766,70999
96,415,2010,OH,ASHTABULA,39,7,39007,Methadone,1,571,70999
97,416,2010,OH,ATHENS,39,9,39009,Buprenorphine,14,664,70999
98,423,2010,OH,BELMONT,39,13,39013,Propoxyphene,2,231,70999
99,440,2010,OH,BROWN,39,15,39015,Buprenorphine,2,213,70999
100,441,2010,OH,BROWN,39,15,39015,Propoxyphene,1,213,70999
101,449,2010,OH,BUTLER,39,17,39017,Hydromorphone,2,1825,70999
102,461,2010,OH,CARROLL,39,19,39019,Hydrocodone,8,57,70999
103,473,2010,OH,CLARK,39,23,39023,Buprenorphine,1,186,70999
104,476,2010,OH,CLERMONT,39,25,39025,Hydrocodone,52,752,70999
105,482,2010,OH,COLUMBIANA,39,29,39029,Oxycodone,11,341,70999
106,483,2010,OH,COLUMBIANA,39,29,39029,Oxymorphone,2,341,70999
107,491,2010,OH,DEFIANCE,39,39,39039,Fentanyl,1,589,70999
108,492,2010,OH,DEFIANCE,39,39,39039,Morphine,15,589,70999
109,493,2010,OH,DELAWARE,39,41,39041,Buprenorphine,13,1774,70999
110,494,2010,OH,DELAWARE,39,41,39041,Propoxyphene,4,1774,70999
111,500,2010,OH,ERIE,39,43,39043,Heroin,30,552,70999
112,501,2010,OH,ADAMS,39,1,39001,Codeine,3,527,70999
113,502,2010,OH,ADAMS,39,1,39001,Hydrocodone,59,527,70999
114,503,2010,OH,ADAMS,39,1,39001,Methadone,12,527,70999
115,514,2010,OH,ALLEN,39,3,39003,Hydromorphone,15,580,70999
116,517,2010,OH,ASHLAND,39,5,39005,Buprenorphine,12,766,70999
117,518,2010,OH,ASHLAND,39,5,39005,Morphine,6,766,70999
118,519,2010,OH,ASHTABULA,39,7,39007,Heroin,26,571,70999
119,520,2010,OH,ASHTABULA,39,7,39007,Propoxyphene,1,571,70999
120,521,2010,OH,ATHENS,39,9,39009,Hydrocodone,40,664,70999
121,522,2010,OH,ATHENS,39,9,39009,Methadone,9,664,70999
122,541,2010,OH,BROWN,39,15,39015,Codeine,1,213,70999
123,542,2010,OH,BROWN,39,15,39015,Hydrocodone,21,213,70999
124,546,2010,OH,BUTLER,39,17,39017,Oxycodone,127,1825,70999
125,547,2010,OH,BUTLER,39,17,39017,Oxymorphone,12,1825,70999
126,569,2010,OH,CLARK,39,23,39023,Heroin,26,186,70999
127,571,2010,OH,CLERMONT,39,25,39025,Buprenorphine,19,752,70999
128,572,2010,OH,CLERMONT,39,25,39025,Morphine,4,752,70999
129,573,2010,OH,CLINTON,39,27,39027,Heroin,68,455,70999
130,576,2010,OH,COLUMBIANA,39,29,39029,Hydrocodone,9,341,70999
131,577,2010,OH,CRAWFORD,39,33,39033,Hydrocodone,6,218,70999
132,580,2010,OH,CUYAHOGA,39,35,39035,Hydrocodone,81,3556,70999
133,581,2010,OH,CUYAHOGA,39,35,39035,Methadone,13,3556,70999
134,583,2010,OH,DARKE,39,37,39037,Oxycodone,1,156,70999
135,587,2010,OH,DEFIANCE,39,39,39039,Oxycodone,31,589,70999
136,588,2010,OH,DEFIANCE,39,39,39039,Oxymorphone,2,589,70999
137,589,2010,OH,DELAWARE,39,41,39041,Opiates,2,1774,70999
138,593,2010,OH,ERIE,39,43,39043,Morphine,1,552,70999
139,595,2010,OH,FAIRFIELD,39,45,39045,Hydromorphone,1,846,70999
140,596,2010,OH,FAIRFIELD,39,45,39045,Opiates,1,846,70999
141,601,2010,OH,ADAMS,39,1,39001,Hydromorphone,4,527,70999
142,602,2010,OH,ADAMS,39,1,39001,Meperidine,1,527,70999
143,609,2010,OH,ALLEN,39,3,39003,Buprenorphine,1,580,70999
144,610,2010,OH,ALLEN,39,3,39003,Codeine,2,580,70999
145,611,2010,OH,ALLEN,39,3,39003,Hydrocodone,20,580,70999
146,612,2010,OH,ALLEN,39,3,39003,Morphine,3,580,70999
147,617,2010,OH,ATHENS,39,9,39009,Meperidine,2,664,70999
148,618,2010,OH,AUGLAIZE,39,11,39011,Morphine,7,184,70999
149,629,2010,OH,BELMONT,39,13,39013,Fentanyl,2,231,70999
150,630,2010,OH,BELMONT,39,13,39013,Hydrocodone,10,231,70999
151,654,2010,OH,CHAMPAIGN,39,21,39021,Oxycodone,19,214,70999
152,655,2010,OH,CHAMPAIGN,39,21,39021,Oxymorphone,1,214,70999
153,663,2010,OH,CLERMONT,39,25,39025,Dextropropoxyphene,1,752,70999
154,664,2010,OH,CLERMONT,39,25,39025,Oxycodone,78,752,70999
155,665,2010,OH,CLERMONT,39,25,39025,Oxymorphone,5,752,70999
156,666,2010,OH,CLINTON,39,27,39027,Dextropropoxyphene,1,455,70999
157,671,2010,OH,CRAWFORD,39,33,39033,Oxycodone,16,218,70999
158,678,2010,OH,CUYAHOGA,39,35,39035,Hydromorphone,3,3556,70999
159,680,2010,OH,DELAWARE,39,41,39041,Heroin,1123,1774,70999
160,681,2010,OH,DELAWARE,39,41,39041,Methadone,10,1774,70999
161,687,2010,OH,ERIE,39,43,39043,Codeine,3,552,70999
162,694,2010,OH,FAIRFIELD,39,45,39045,Buprenorphine,16,846,70999
163,695,2010,OH,FAIRFIELD,39,45,39045,Codeine,1,846,70999
164,696,2010,OH,FAIRFIELD,39,45,39045,Hydrocodone,24,846,70999
165,697,2010,OH,FAIRFIELD,39,45,39045,Morphine,3,846,70999
166,702,2010,OH,ADAMS,39,1,39001,Oxycodone,119,527,70999
167,703,2010,OH,ADAMS,39,1,39001,Oxymorphone,1,527,70999
168,716,2010,OH,ASHTABULA,39,7,39007,Oxycodone,42,571,70999
169,727,2010,OH,BELMONT,39,13,39013,Buprenorphine,1,231,70999
170,728,2010,OH,BELMONT,39,13,39013,Morphine,3,231,70999
171,742,2010,OH,BROWN,39,15,39015,Methadone,4,213,70999
172,750,2010,OH,BUTLER,39,17,39017,Heroin,223,1825,70999
173,760,2010,OH,CARROLL,39,19,39019,Propoxyphene,1,57,70999
174,776,2010,OH,CLERMONT,39,25,39025,Tramadol,3,752,70999
175,778,2010,OH,CLINTON,39,27,39027,Oxycodone,33,455,70999
176,779,2010,OH,COSHOCTON,39,31,39031,Tramadol,1,75,70999
177,780,2010,OH,CRAWFORD,39,33,39033,Methadone,4,218,70999
178,786,2010,OH,DARKE,39,37,39037,Heroin,20,156,70999
179,787,2010,OH,DARKE,39,37,39037,Methadone,2,156,70999
180,791,2010,OH,DEFIANCE,39,39,39039,Heroin,24,589,70999
181,792,2010,OH,DEFIANCE,39,39,39039,Propoxyphene,2,589,70999
182,793,2010,OH,DELAWARE,39,41,39041,Codeine,3,1774,70999
183,794,2010,OH,DELAWARE,39,41,39041,Hydrocodone,22,1774,70999
184,795,2010,OH,DELAWARE,39,41,39041,Tramadol,1,1774,70999
185,802,2010,OH,FAIRFIELD,39,45,39045,Propoxyphene,2,846,70999
186,807,2010,OH,FAYETTE,39,47,39047,Heroin,8,95,70999
187,815,2010,OH,FRANKLIN,39,49,39049,Buprenorphine,29,2921,70999
188,823,2010,OH,GALLIA,39,53,39053,Hydrocodone,59,416,70999
189,824,2010,OH,GEAUGA,39,55,39055,Buprenorphine,3,114,70999
190,825,2010,OH,GEAUGA,39,55,39055,Propoxyphene,1,114,70999
191,838,2010,OH,GREENE,39,57,39057,Hydromorphone,1,964,70999
192,839,2010,OH,GREENE,39,57,39057,Methadone,3,964,70999
