,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC172,HC01_VC175,HC01_VC188,HC01_VC191,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209
0,21001,3.06,0,46,7,90,22,28,36,4141,1337,1769,361,35,93,13,0,324,114,0,95,33,5,0,1,11
1,21003,3.03,61,79,72,168,9,136,56,1906,2274,2646,270,0,120,33,0,466,336,12,0,8,45,0,29,0
2,21005,2.95,11,52,15,118,13,236,42,2627,2708,3661,556,0,139,0,161,589,328,0,27,86,58,223,110,0
3,21007,2.84,89,75,33,123,55,17,21,819,1146,1446,94,7,123,10,10,171,87,7,2,33,0,0,26,12
4,21009,2.96,65,56,75,108,13,154,90,4942,4621,3444,531,10,260,27,1,912,1439,19,65,98,29,9,225,22
5,21011,3.21,55,69,72,138,16,26,2,1468,1081,2113,41,0,83,0,0,209,265,0,34,39,16,0,34,0
6,21013,3.19,54,67,82,115,25,104,10,2298,1144,2070,278,0,103,0,0,339,217,0,71,60,0,0,62,9
7,21015,3.27,33,51,20,89,29,1058,1650,13749,39868,21348,4437,74,1917,71,380,2135,2963,126,766,615,168,235,771,8
8,21017,2.99,64,56,61,117,15,491,61,2578,2224,2769,308,3,163,0,11,479,282,0,11,73,97,0,80,0
9,21019,2.96,47,46,32,88,17,336,77,6230,7025,9284,1018,19,280,61,234,1120,1100,23,126,160,28,12,379,135
10,21021,2.87,27,57,14,124,19,256,153,4184,3817,3622,567,10,325,23,12,1142,637,24,74,154,109,7,197,0
11,21023,3.35,48,71,7,151,28,139,0,1112,1918,1412,264,0,36,0,76,114,215,0,0,2,10,0,13,0
12,21025,3.18,50,27,0,76,0,82,19,1511,877,893,123,0,0,0,12,173,129,9,10,9,13,0,4,2
13,21027,3.1,29,44,0,120,4,68,15,2500,3291,3625,448,0,111,94,37,465,408,164,0,102,52,0,19,23
14,21029,3.05,45,49,14,104,20,213,277,7093,13349,10310,1578,14,814,13,31,804,1164,0,10,410,238,78,254,12
15,21031,2.94,30,71,0,156,13,129,0,889,739,1206,124,0,44,12,0,270,110,0,0,64,0,0,30,0
16,21033,3.27,80,84,148,159,0,127,44,1701,1631,1635,238,0,77,0,0,451,474,0,0,13,0,0,108,0
17,21035,2.8,14,39,10,71,11,293,759,4458,5359,4946,793,58,578,6,91,1225,957,59,111,255,39,34,81,54
18,21037,3.15,33,60,13,116,23,309,304,9163,35189,16559,4318,76,749,61,136,1534,1719,144,232,359,293,76,751,2
19,21039,2.94,57,36,18,57,25,0,0,590,428,647,41,0,16,2,0,74,102,0,3,11,0,0,10,0
20,21041,2.78,27,48,0,37,73,428,31,1434,1611,1469,158,0,3,17,0,237,374,0,8,9,0,15,92,0
