,Unnamed: 0,Unnamed: 0.1,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC172,HC01_VC175,HC01_VC188,HC01_VC191,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209
0,0,0,21001,2.51,18.0,8.0,50.0,12.0,93.0,383.0,158.0,6.0,3961.0,1791.0,6.0,51.0,152.0,0.0,70.0,205.0,6.0,44.0,155.0,398.0,0.0,29.0,87.0,0.0
1,1,1,21003,2.62,58.0,32.0,48.0,0.0,119.0,1417.0,159.0,23.0,1927.0,2497.0,198.0,51.0,320.0,9.0,30.0,260.0,0.0,27.0,246.0,303.0,8.0,0.0,136.0,119.0
2,2,2,21005,2.54,78.0,33.0,62.0,0.0,138.0,264.0,29.0,19.0,2901.0,3081.0,35.0,21.0,556.0,46.0,83.0,202.0,0.0,5.0,592.0,845.0,0.0,0.0,49.0,13.0
3,3,3,21007,2.49,23.0,28.0,49.0,58.0,106.0,241.0,0.0,24.0,694.0,934.0,51.0,0.0,105.0,2.0,22.0,52.0,3.0,6.0,146.0,202.0,0.0,0.0,5.0,17.0
4,4,4,21009,2.54,165.0,35.0,50.0,36.0,97.0,1537.0,242.0,34.0,5014.0,3376.0,9.0,46.0,784.0,0.0,99.0,301.0,0.0,0.0,722.0,983.0,24.0,58.0,553.0,65.0
5,5,5,21011,2.7,45.0,42.0,39.0,60.0,75.0,330.0,61.0,0.0,1107.0,1114.0,43.0,0.0,72.0,0.0,5.0,26.0,0.0,15.0,66.0,335.0,0.0,19.0,96.0,62.0
6,6,6,21013,2.43,143.0,46.0,44.0,24.0,94.0,323.0,57.0,0.0,1410.0,1501.0,47.0,1.0,181.0,0.0,30.0,158.0,0.0,0.0,218.0,287.0,0.0,8.0,40.0,9.0
7,7,7,21015,2.73,377.0,29.0,54.0,8.0,113.0,7338.0,1534.0,196.0,13113.0,38426.0,317.0,404.0,4641.0,153.0,1082.0,2221.0,355.0,297.0,1367.0,2919.0,112.0,730.0,709.0,171.0
8,8,8,21017,2.46,183.0,77.0,73.0,91.0,149.0,1189.0,742.0,5.0,1721.0,2488.0,1.0,20.0,229.0,22.0,65.0,133.0,7.0,13.0,313.0,314.0,0.0,0.0,43.0,38.0
9,9,9,21019,2.4,213.0,42.0,54.0,16.0,106.0,671.0,125.0,4.0,4908.0,6620.0,66.0,55.0,615.0,18.0,193.0,315.0,138.0,23.0,976.0,1131.0,0.0,69.0,164.0,10.0
10,10,10,21021,2.47,90.0,24.0,36.0,19.0,61.0,818.0,262.0,62.0,3003.0,3869.0,110.0,63.0,365.0,26.0,155.0,210.0,42.0,65.0,350.0,669.0,23.0,122.0,144.0,58.0
11,11,11,21023,2.45,46.0,58.0,67.0,0.0,171.0,151.0,22.0,47.0,826.0,2284.0,0.0,75.0,84.0,0.0,3.0,142.0,0.0,9.0,49.0,128.0,0.0,0.0,17.0,2.0
12,12,12,21025,2.48,106.0,66.0,57.0,55.0,98.0,146.0,23.0,12.0,1305.0,630.0,0.0,6.0,104.0,0.0,15.0,7.0,0.0,0.0,202.0,200.0,8.0,17.0,27.0,5.0
13,13,13,21027,2.68,125.0,68.0,79.0,15.0,164.0,571.0,122.0,0.0,2582.0,2891.0,4.0,12.0,308.0,0.0,39.0,166.0,11.0,30.0,172.0,424.0,10.0,23.0,28.0,194.0
14,14,14,21029,2.71,401.0,42.0,55.0,19.0,111.0,1428.0,258.0,62.0,6666.0,12959.0,103.0,121.0,1611.0,2.0,164.0,744.0,24.0,68.0,741.0,1167.0,9.0,42.0,336.0,115.0
15,15,15,21031,2.45,47.0,40.0,61.0,9.0,136.0,583.0,238.0,0.0,1061.0,1333.0,0.0,0.0,207.0,0.0,40.0,58.0,0.0,0.0,178.0,208.0,0.0,5.0,35.0,10.0
16,16,16,21033,2.37,35.0,25.0,74.0,52.0,169.0,29.0,0.0,16.0,812.0,1259.0,0.0,20.0,258.0,0.0,6.0,104.0,0.0,0.0,246.0,211.0,0.0,181.0,42.0,19.0
17,17,17,21035,2.32,113.0,18.0,30.0,0.0,51.0,1950.0,307.0,43.0,3586.0,5183.0,6.0,38.0,945.0,30.0,140.0,433.0,60.0,52.0,753.0,1075.0,0.0,355.0,164.0,45.0
18,18,18,21037,2.46,387.0,30.0,52.0,13.0,90.0,3273.0,413.0,123.0,9917.0,35406.0,297.0,233.0,3722.0,104.0,252.0,1356.0,138.0,186.0,1102.0,1667.0,139.0,337.0,338.0,212.0
19,19,19,21039,2.34,4.0,10.0,66.0,36.0,133.0,40.0,15.0,0.0,483.0,491.0,10.0,0.0,31.0,0.0,12.0,21.0,4.0,5.0,23.0,97.0,0.0,4.0,3.0,0.0
20,20,20,21041,2.59,115.0,110.0,81.0,169.0,128.0,604.0,286.0,1.0,1066.0,1138.0,0.0,3.0,31.0,0.0,78.0,5.0,0.0,0.0,52.0,187.0,27.0,17.0,0.0,10.0
