,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC161,HC01_VC172,HC01_VC175,HC01_VC176,HC01_VC178,HC01_VC185,HC01_VC187,HC01_VC193,HC01_VC196,HC01_VC198,HC01_VC203,HC01_VC204,HC01_VC206,HC01_VC208,HC01_VC209
0,21001,2.44,9,5,60,34,103,55,359,157,55,5,18696,9,27,79,243,4,217,0,67,10
1,21003,2.46,48,26,43,47,94,0,991,115,716,45,20123,8,40,54,182,0,269,23,29,94
2,21005,2.58,83,32,60,25,119,98,550,199,185,67,21575,0,37,42,430,33,542,0,46,19
3,21007,2.46,22,31,76,24,153,47,139,2,43,10,8282,15,2,0,105,12,111,0,29,0
4,21009,2.51,287,69,59,109,104,49,1333,196,402,137,42504,17,163,7,581,1,611,28,143,0
5,21011,2.61,113,86,76,110,140,4,142,42,18,0,11732,2,2,0,41,5,141,0,104,16
6,21013,2.46,169,50,58,97,89,19,240,17,51,90,28409,43,0,16,232,0,317,0,53,9
7,21015,2.78,530,42,62,26,125,715,7112,1124,1481,2097,121214,245,306,426,4368,261,1653,79,806,124
8,21017,2.51,129,57,56,80,120,138,1182,611,99,12,19999,16,63,53,368,13,303,0,84,72
9,21019,2.41,190,38,46,32,88,199,952,224,293,83,49314,127,69,88,867,197,902,14,113,31
10,21021,2.38,89,26,53,21,108,59,1092,323,161,88,28701,37,28,18,597,24,770,15,176,121
11,21023,2.59,61,67,72,0,157,5,109,72,13,0,8472,38,4,79,211,11,74,0,1,0
12,21025,2.52,76,43,33,29,80,6,226,112,43,17,13776,0,13,0,119,6,180,7,9,7
13,21027,2.74,62,29,47,11,120,24,520,101,325,8,20059,0,71,21,303,78,273,161,60,149
14,21029,2.69,301,34,47,11,91,137,1231,173,196,360,75250,85,217,85,1831,66,807,0,163,198
15,21031,2.45,30,27,78,16,157,30,347,134,61,6,12746,0,0,0,135,0,151,0,50,14
16,21033,2.44,113,78,71,124,139,0,103,65,0,23,12946,19,0,13,250,0,353,0,33,0
17,21035,2.28,49,8,27,0,53,312,1961,467,337,740,37383,53,37,47,841,103,659,36,192,57
18,21037,2.49,418,33,56,9,105,318,3341,335,1091,284,90606,405,118,346,4099,184,1023,163,282,299
19,21039,2.46,33,77,91,50,190,16,58,12,9,0,5064,0,0,0,38,6,37,0,11,0
20,21041,2.46,65,53,70,53,70,17,773,413,123,15,10902,0,0,2,51,0,148,25,8,11
21,21043,2.59,52,18,39,31,75,31,163,27,45,7,27493,32,10,0,129,29,403,27,8,10
22,21045,2.59,50,32,53,28,128,34,527,114,281,19,16006,0,9,32,67,3,203,0,28,20
23,21047,2.65,426,62,89,56,133,280,4429,924,1275,659,74169,70,209,104,1807,136,476,74,203,142
24,21049,2.43,146,39,43,20,87,69,753,180,187,108,35608,90,106,52,709,37,673,0,69,5
25,21051,2.71,145,56,37,17,90,0,393,126,34,11,21633,13,0,0,104,14,230,7,129,5
26,21053,2.54,33,29,40,23,76,64,144,39,25,8,10210,0,0,8,48,8,64,0,65,1
27,21055,2.41,14,21,59,0,129,35,665,25,566,24,9283,0,8,0,100,0,87,0,13,28
28,21057,2.59,6,7,23,0,71,10,104,35,56,0,6842,0,0,0,28,0,49,0,39,0
29,21059,2.51,534,48,52,50,105,368,3101,668,759,302,97230,20,195,20,1177,126,1110,17,276,273
30,21061,2.47,16,16,34,13,86,133,314,31,130,3,12148,0,33,13,196,0,127,0,59,10
31,21063,2.59,49,67,78,102,105,0,159,107,0,6,7784,0,19,0,30,0,107,0,0,0
32,21065,2.48,29,20,40,96,64,19,118,2,29,31,14601,0,5,6,142,40,131,6,24,11
33,21067,2.34,1238,26,52,29,82,2821,33447,8833,6765,6841,300843,1974,1282,744,9223,1375,6080,213,1931,745
34,21069,2.60,69,46,58,33,149,0,381,75,277,2,14435,0,0,106,409,0,89,0,168,80
35,21071,2.49,148,36,48,13,98,42,332,65,125,35,39448,0,42,82,354,5,534,0,23,20
36,21073,2.25,360,53,65,13,151,150,2318,792,364,353,49390,27,126,100,997,110,926,26,126,83
37,21075,2.30,34,50,29,27,71,33,186,18,88,12,6650,14,5,0,71,0,45,0,9,9
38,21077,2.81,75,77,78,9,212,11,424,293,46,0,8525,9,0,0,231,0,44,3,11,0
39,21079,2.66,98,56,51,33,115,6,401,130,118,18,16896,0,0,70,284,0,324,0,87,0
40,21081,2.92,145,57,70,63,149,70,669,265,129,64,24685,0,58,10,391,9,492,41,58,45
41,21083,2.54,127,34,48,37,89,38,2382,888,407,50,37329,107,0,0,355,11,375,0,127,22
42,21085,2.57,43,16,35,29,68,14,331,130,38,43,25833,7,48,10,365,66,314,8,84,20
43,21087,2.47,31,30,33,21,55,60,183,32,110,15,11252,0,39,7,150,0,177,0,44,25
44,21089,2.51,116,33,47,46,88,77,503,68,134,92,36822,100,26,19,579,37,670,3,129,39
45,21091,2.53,53,66,50,94,106,10,149,39,35,0,8608,0,4,0,106,25,149,0,17,9
46,21093,2.60,477,39,60,23,120,1480,7480,706,2520,1702,106211,436,239,119,2970,196,851,114,332,255
47,21095,2.51,52,16,31,0,65,16,367,100,119,18,29012,6,0,29,262,18,187,1,22,17
48,21097,2.56,56,26,28,90,34,51,618,189,228,0,18693,178,10,34,368,76,382,0,9,14
49,21099,2.54,148,76,98,36,213,44,1208,43,975,28,18345,32,8,0,229,0,203,0,33,225
50,21101,2.40,325,62,61,29,127,84,1346,404,339,91,46303,31,123,0,400,40,711,0,53,10
51,21103,2.55,109,72,63,6,161,37,482,124,75,9,15425,58,7,82,147,2,168,24,64,19
52,21105,2.34,46,97,73,231,48,0,64,0,1,0,4834,0,22,0,45,0,150,0,0,0
53,21107,2.48,170,34,46,34,82,100,1168,355,250,132,46810,0,20,0,452,51,704,2,40,27
54,21109,2.33,40,26,38,0,101,0,86,0,5,6,13418,0,11,0,81,65,66,0,29,0
55,21111,2.39,4308,41,54,25,94,6802,58200,13661,13771,10690,746580,4825,1374,1592,18101,3369,9207,496,2907,3099
56,21113,2.63,195,34,62,14,117,485,1883,230,720,275,49112,131,133,140,1003,121,553,16,491,78
57,21115,2.50,87,34,47,54,83,10,234,8,38,65,23377,80,30,0,216,10,311,0,47,0
58,21117,2.56,1028,48,64,59,114,668,6198,1482,1515,771,160828,465,316,604,7339,290,2102,265,559,447
59,21119,2.63,117,56,58,49,132,4,205,9,88,5,16217,0,0,0,127,0,312,0,89,59
60,21121,2.53,177,49,61,101,110,41,432,143,37,33,31865,5,0,23,395,25,482,0,140,23
61,21123,2.66,137,91,60,47,128,68,398,105,89,0,14149,0,0,8,249,8,67,5,0,0
62,21125,2.55,252,42,63,45,131,98,969,315,259,162,59178,10,156,47,705,19,590,8,93,558
63,21127,2.70,8,5,28,0,56,18,202,13,34,87,15877,0,12,17,195,0,286,4,72,0
64,21129,2.28,9,13,35,0,83,8,73,27,26,7,7554,0,18,0,79,0,85,0,4,3
65,21131,2.62,0,0,31,0,85,3,32,17,6,0,11220,6,0,0,35,0,81,0,0,0
66,21133,2.56,98,41,47,24,94,20,212,44,25,22,24202,14,10,43,59,0,457,17,7,0
67,21135,2.74,13,9,22,10,49,0,254,60,92,9,13859,0,6,0,141,122,91,0,26,0
68,21137,2.52,92,35,46,0,119,11,220,18,138,0,24602,0,11,0,147,33,131,0,168,80
69,21139,2.62,96,113,74,0,199,13,173,53,16,21,9467,0,2,11,171,0,262,0,78,7
70,21141,2.43,89,31,50,32,102,78,976,217,414,18,26822,0,98,0,109,16,350,0,139,38
71,21143,2.12,14,19,22,0,61,27,214,2,90,50,8394,11,12,14,190,13,190,7,47,28
72,21145,2.38,212,28,46,12,100,186,1951,362,527,330,65610,96,64,141,1041,64,1402,10,255,103
73,21147,2.57,13,8,29,37,62,0,523,77,87,36,18163,0,0,0,453,6,184,6,41,0
74,21149,2.50,83,78,66,0,151,25,185,33,8,15,9524,0,10,7,61,3,95,0,79,0
75,21151,2.49,351,27,54,55,82,297,2386,572,491,449,83976,115,253,175,2094,195,1906,73,314,357
76,21153,2.64,98,71,49,45,99,24,32,19,10,0,13179,0,0,6,127,26,69,0,0,0
77,21155,2.52,118,52,65,17,128,47,650,238,56,92,19943,14,0,0,306,43,130,0,24,83
78,21157,2.57,136,46,57,13,130,113,441,80,165,36,31296,0,37,26,526,63,407,0,153,11
79,21159,2.55,51,46,44,0,66,0,348,92,27,6,12835,11,7,0,83,84,168,0,8,26
80,21161,2.60,113,56,58,0,122,51,544,15,337,5,17452,15,7,0,178,0,351,0,17,57
81,21163,2.79,135,48,61,8,127,170,786,117,136,178,29028,28,60,36,667,31,279,0,59,42
82,21165,2.58,34,50,43,78,56,0,188,76,44,35,6334,0,0,0,65,0,55,0,29,13
83,21167,2.42,97,45,82,18,182,106,396,118,165,16,21313,58,18,28,356,8,427,0,20,24
84,21169,2.53,7,8,72,13,124,0,100,15,56,8,10043,0,14,0,33,42,226,0,6,9
85,21171,2.43,20,19,34,0,51,3,342,183,46,18,10874,0,0,0,81,29,101,0,60,27
86,21173,2.59,181,56,71,64,136,38,413,173,62,13,26762,0,35,0,364,0,279,0,18,40
87,21175,2.54,70,60,62,0,129,46,218,63,98,14,13657,0,9,5,72,0,351,0,72,6
