,County,State,FIPS,Year
0,BERKS,PA,42011,2017
1,CARROLL,KY,21041,2017
2,CHESTER,PA,42029,2017
3,DAUPHIN,PA,42043,2017
4,DELAWARE,OH,39041,2017
5,FAIRFIELD,OH,39045,2017
6,BRADFORD,PA,42015,2017
7,FAYETTE,OH,39047,2017
8,FRANKLIN,OH,39049,2017
9,JEFFERSON,KY,21111,2017
10,LACKAWANNA,PA,42069,2017
11,LANCASTER,PA,42071,2017
12,LEBANON,PA,42075,2017
13,HENRY,KY,21103,2017
14,MEDINA,OH,39103,2017
15,MONROE,PA,42089,2017
16,MORROW,OH,39117,2017
17,PIKE,PA,42103,2017
18,PORTAGE,OH,39133,2017
19,OLDHAM,KY,21185,2017
20,SUMMIT,OH,39153,2017
21,SHELBY,KY,21211,2017
22,WASHINGTON,VA,51191,2017
23,YORK,PA,42133,2017
24,SUSQUEHANNA,PA,42115,2017
25,WAYNE,PA,42127,2017
26,WISE,VA,51195,2017
27,TRIMBLE,KY,21223,2017
28,WYOMING,PA,42131,2017
29,TIOGA,PA,42117,2017
