,FIPS,County,DrugReports,Latitude,Longitude
0,21001,ADAIR,115,37.105540999999995,-85.281401
1,21003,ALLEN,107,36.75077,-86.192458
2,21005,ANDERSON,72,38.005396000000005,-84.986417
3,21007,BALLARD,16,37.051120000000004,-89.009178
4,21009,BARREN,289,36.963614,-85.92499000000001
5,21011,BATH,44,38.152249,-83.737641
6,21013,BELL,798,36.72268,-83.681046
7,21015,BOONE,414,38.974595,-84.731444
8,21017,BOURBON,156,38.202562,-84.20985999999999
9,21019,BOYD,289,38.360003999999996,-82.68140600000001
10,21021,BOYLE,239,37.6182,-84.873016
11,21023,BRACKEN,44,38.678523,-84.10035500000001
12,21025,BREATHITT,81,37.521178000000006,-83.322401
13,21027,BRECKINRIDGE,53,37.778109,-86.432829
14,21029,BULLITT,283,37.969572,-85.703036
15,21031,BUTLER,87,37.207013,-86.68247099999999
16,21033,CALDWELL,85,37.148643,-87.87051
17,21035,CALLOWAY,225,36.620978,-88.274086
18,21037,CAMPBELL,1102,38.946981,-84.379583
19,21041,CARROLL,170,38.668284,-85.124083
20,21043,CARTER,190,38.309554999999996,-83.04882099999999
21,21045,CASEY,114,37.321962,-84.92822
22,21047,CHRISTIAN,390,36.893388,-87.493554
23,21049,CLARK,224,37.970133000000004,-84.144974
24,21051,CLAY,270,37.164466,-83.710763
25,21053,CLINTON,74,36.729124,-85.153499
26,21055,CRITTENDEN,33,37.358149,-88.10501
27,21057,CUMBERLAND,64,36.784227,-85.393499
28,21059,DAVIESS,629,37.731671,-87.08713900000001
29,21061,EDMONSON,50,37.227856,-86.21777800000001
30,21063,ELLIOTT,22,38.116425,-83.097541
31,21065,ESTILL,86,37.69246,-83.963927
32,21067,FAYETTE,1325,38.040157,-84.458443
33,21069,FLEMING,46,38.368431,-83.706152
34,21071,FLOYD,299,37.558283,-82.740337
35,21073,FRANKLIN,408,38.234919,-84.868786
36,21075,FULTON,73,36.552620000000005,-89.18772299999999
37,21077,GALLATIN,17,38.760184,-84.862114
38,21079,GARRARD,60,37.630162,-84.545856
39,21081,GRANT,218,38.64921,-84.625946
40,21083,GRAVES,306,36.723344,-88.649897
41,21085,GRAYSON,122,37.458577000000005,-86.344011
42,21087,GREEN,13,37.269637,-85.561403
43,21089,GREENUP,124,38.563596000000004,-82.93383299999999
44,21091,HANCOCK,17,37.843389,-86.792773
45,21093,HARDIN,618,37.695836,-85.963183
46,21095,HARLAN,351,36.859223,-83.221497
47,21097,HARRISON,160,38.443489,-84.332796
48,21099,HART,70,37.313856,-85.88199499999999
49,21101,HENDERSON,370,37.792542,-87.572577
50,21103,HENRY,104,38.451561,-85.120079
51,21105,HICKMAN,13,36.675916,-88.97202
52,21107,HOPKINS,367,37.31107,-87.54219599999999
53,21109,JACKSON,97,37.40332,-84.020686
54,21111,JEFFERSON,3825,38.189533000000004,-85.657624
55,21113,JESSAMINE,195,37.873290999999995,-84.58396
56,21115,JOHNSON,133,37.84926,-82.830639
57,21117,KENTON,1186,38.930477,-84.53349200000001
58,21119,KNOTT,201,37.354703,-82.949138
59,21121,KNOX,333,36.887476,-83.85563
60,21123,LARUE,24,37.545518,-85.697209
61,21125,LAUREL,382,37.113268,-84.119395
62,21127,LAWRENCE,72,38.074459000000004,-82.73830500000001
63,21129,LEE,54,37.605383,-83.718497
64,21131,LESLIE,57,37.087846,-83.388616
65,21133,LETCHER,101,37.118503000000004,-82.861175
66,21135,LEWIS,23,38.532051,-83.373303
67,21137,LINCOLN,48,37.457257,-84.658074
68,21139,LIVINGSTON,52,37.209517,-88.363426
69,21141,LOGAN,175,36.859829,-86.881436
70,21143,LYON,191,37.023976,-88.083391
71,21145,MCCRACKEN,438,37.053688,-88.712378
72,21147,MCCREARY,69,36.731136,-84.491052
73,21149,MCLEAN,47,37.530575,-87.26293100000001
74,21151,MADISON,711,37.723528,-84.277008
75,21153,MAGOFFIN,39,37.698954,-83.069716
76,21155,MARION,214,37.552246999999994,-85.269242
77,21157,MARSHALL,58,36.882017,-88.332752
78,21159,MARTIN,74,37.796774,-82.506623
79,21161,MASON,122,38.594068,-83.828052
80,21163,MEADE,87,37.967476,-86.200863
81,21167,MERCER,137,37.812084999999996,-84.879695
